frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5
36,(1886!2808),(1382!2883),(528!2581),(1949!2647),(1929!2556),(328!2135)
37,(1886!2807),(1381!2887),(526!2583),(1949!2647),(1929!2556),(327!2135)
38,(1887!2807),(1388!2912),(523!2582),(1950!2648),(1929!2556),(327!2135)
39,(1887!2808),(1392!2909),(524!2583),(1950!2648),(1929!2556),(327!2135)
40,(1886!2807),(1400!2904),(539!2578),(1950!2647),(1929!2556),(327!2135)
41,(1886!2807),(1399!2901),(561!2566),(1950!2647),(1929!2556),(328!2135)
42,(1886!2808),(1388!2901),(557!2570),(1949!2647),(1929!2556),(328!2135)
43,(1886!2807),(1401!2898),(559!2571),(1949!2647),(1929!2556),(328!2134)
44,(1885!2807),(1391!2897),(558!2574),(1949!2646),(1929!2555),(328!2135)
45,(1886!2807),(1405!2895),(552!2576),(1949!2647),(1929!2555),(328!2135)
46,(1886!2807),(1401!2899),(553!2570),(1949!2647),(1929!2555),(328!2135)
47,(1886!2807),(1399!2902),(555!2562),(1949!2646),(1929!2555),(327!2135)
48,(1886!2807),(1400!2904),(547!2553),(1949!2647),(1929!2555),(327!2135)
49,(1886!2807),(1400!2904),(547!2556),(1949!2647),(1929!2556),(327!2135)
50,(1886!2807),(1400!2903),(538!2546),(1949!2647),(1929!2555),(327!2135)
51,(1887!2808),(1400!2904),(542!2552),(1950!2647),(1929!2556),(327!2135)
52,(1886!2808),(1404!2905),(551!2553),(1949!2647),(1929!2556),(327!2135)
53,(1886!2807),(1409!2908),(575!2555),(1949!2647),(1929!2556),(327!2135)
54,(1886!2807),(1413!2908),(571!2555),(1949!2647),(1929!2555),(327!2134)
55,(1887!2808),(1419!2913),(571!2554),(1950!2648),(1929!2556),(326!2135)
56,(1887!2808),(1424!2920),(575!2561),(1950!2648),(1929!2556),(326!2136)
57,(1887!2808),(1431!2925),(579!2548),(1950!2648),(1929!2556),(326!2135)
58,(1887!2808),(1434!2930),(591!2544),(1950!2647),(1929!2556),(327!2135)
59,(1887!2808),(1434!2931),(594!2541),(1949!2647),(1929!2556),(327!2135)
60,(1886!2807),(1440!2938),(593!2538),(1949!2647),(1929!2556),(327!2134)
61,(1886!2807),(1456!2951),(592!2538),(1949!2647),(1929!2555),(327!2135)
62,(1886!2807),(1463!2969),(575!2540),(1949!2647),(1929!2555),(327!2135)
63,(1886!2807),(1471!2987),(572!2545),(1949!2647),(1929!2556),(327!2134)
64,(1886!2807),(1479!3003),(577!2534),(1950!2647),(1929!2556),(327!2135)
65,(1886!2807),(1484!3017),(584!2514),(1949!2647),(1929!2555),(327!2134)
66,(1886!2807),(1488!3026),(601!2491),(1949!2646),(1929!2555),(327!2134)
67,(1885!2807),(1491!3036),(598!2493),(1949!2646),(1928!2555),(327!2134)
