frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_15,ID_17,ID_18,ID_20,ID_21,ID_23,ID_24,ID_25,ID_26,ID_27,ID_30,ID_31,ID_32,ID_33,ID_34,ID_36,ID_38,ID_39,ID_40,ID_41,ID_43,ID_45,ID_46,ID_47,ID_48,ID_49,ID_50,ID_51,ID_53,ID_54,ID_55,ID_56,ID_57,ID_58,ID_59,ID_62,ID_63,ID_64,ID_65,ID_67,ID_68,ID_71,ID_72,ID_74,ID_75,ID_76
1006,,,(615!191),,(1678!759),(1579!1131),(1433!1023),(1739!1217),(1121!1246),,,,,,,,,,,,,,,,(914!621),(156!94),,,,,,,,,,,,(993!916),,,,,,,,(1123!653),,,(1336!462),,,,,,,,,,,
1007,,,(615!191),,(1678!760),(1578!1131),(1433!1023),(1739!1217),(1120!1246),,,,,,,,,,,,,,,,(914!621),(156!94),,,,,,,,,,,,(992!920),,,,,,,,,,,(1336!462),,,,,,,,,,,
1008,,,(614!192),,(1678!759),(1578!1131),(1433!1023),(1740!1217),(1120!1246),,,,,,,,,,,,,,,,(914!621),(156!93),,,,,,,,,,,,(992!920),,,,,,,,,,,(1336!462),,,,,,,,,,,
1009,,,(614!192),,(1678!759),(1578!1131),(1433!1023),(1739!1217),(1120!1245),,,,,,,,,,,,,,,,(914!621),(157!93),,,,,,,,,,,,(992!920),,,,,,,,,,,(1336!462),,,,,,,,,,,
1010,,,(618!192),,(1678!759),(1578!1130),(1434!1023),(1739!1217),(1120!1245),,,(45!664),,,,,,,,,,,,,(914!620),(157!92),,,,,,,,,,,,(993!915),,,,,,,,,,,(1336!460),,,,,,,,,,,
1011,,,(614!193),,(1679!759),(1578!1131),(1434!1022),(1739!1216),(1120!1246),,,,,,,,,,,,,,,,(914!620),(157!92),,,,,,,,,,,,(992!920),,,,,,,,(1123!653),,,(1336!460),,,,,,,,,,,
1012,,,(614!194),,(1679!760),(1579!1131),(1433!1023),(1742!1217),(1120!1246),,,,,,,,,,,,,,,,(921!623),(158!92),,,,,,,,,,,,(993!915),,,,,,,,,,,(1336!461),,,,,,,,,,,
1013,,,(614!196),,(1680!759),(1579!1131),(1434!1023),(1740!1217),(1120!1246),,,(43!665),,,,,,,,,,,,,(914!621),(158!92),,,,,,,,,,,,(994!915),,,,,,,,(1117!655),,,(1337!459),,,,,,,,,,,
1014,,,(615!190),,(1680!759),(1579!1131),(1433!1023),(1739!1218),(1120!1246),,,,,,,,,,,,,,,,(918!621),(158!92),,,,,,,,,,,,(992!919),,,,,,,,(1117!655),,,(1337!459),,(1420!382),,,,,,,,,
1015,,,(613!198),,(1680!759),(1579!1131),(1434!1023),(1739!1218),(1120!1247),,,,,,,,,,,,,,,,(918!621),(158!92),,,,,,,,,,,,(992!919),,,,,,,,(1240!562),,,(1337!463),,(1420!382),,,,,,,,,
1016,,,(613!199),,(1680!759),(1579!1131),(1434!1023),(1739!1217),(1121!1246),,,,,,,,,,,,,,,,(914!621),(158!91),,,,,,,,,,,,(992!920),,,,,,,,(1240!562),,,(1124!653),,(1337!463),,,,,,,,,
1017,,,(610!200),,(1680!759),(1579!1131),(1433!1024),(1740!1217),(1120!1245),,,(44!673),,,,,,,,,,,,,(914!621),(158!91),,,,,,,,,,,,(992!920),,,,,,,,,,,(1123!653),,(1336!462),,,,,,,,,
1018,,,(611!201),,(1680!759),(1579!1131),(1433!1023),(1740!1218),(1119!1245),,,(44!674),,,,,,,,,,,,,(914!621),(158!91),,,,,,,,,,,,(992!920),,,,,,,,(1336!462),,,,,(1419!382),,,,,,,,,
1019,,,(610!201),,(1679!759),(1579!1131),(1433!1023),(1739!1217),(1119!1245),,,(44!676),,,,,,,,,,,,,(914!621),(158!91),,,,,,,,,,,,(992!920),,,,,,,,(1336!462),,,(1116!655),,,,,,,,,,,
1020,,,(610!202),,(1679!759),(1579!1131),(1433!1022),(1740!1217),(1119!1245),,,(43!678),,,,,,,,,,,,,(915!622),(158!92),,,,,,,,,,,,(992!920),,,,,,,,(1336!462),,,(1122!653),,,,,,,,,,,
1021,,,(609!203),,(1679!760),(1578!1130),(1433!1022),(1739!1210),(1119!1246),,,(43!679),,,,,,,,,,,,,(915!622),(158!92),,,,,,,,,,,,(992!919),,,,,,,,(1336!462),,,,,,,,,,,,,,
1022,,,(610!203),,(1679!759),(1579!1130),(1433!1022),(1739!1210),(1120!1246),,,(44!680),,,,,,,,,,,,,(915!622),(158!92),,,,,,,,,,,,(994!916),,,,,,,,(1336!463),,,,,,,,,,,,,,
1023,,,(609!204),,(1680!759),(1579!1130),(1433!1022),(1739!1217),(1120!1245),,,(43!682),,,,,,,,,,,,,(920!624),(158!92),,,,,,,,,,,,(994!916),,,,,,,,(1336!461),,,,,,,,,,,,,,
1024,,,(609!205),,(1680!759),(1579!1131),(1433!1022),(1739!1217),(1120!1246),,,(42!682),,,,,,,,,,,,,(915!622),(158!92),,,,,,,,,,,,(994!915),,,,,,,,(1420!381),,,,,,,,,,,,,,
1025,,,(609!206),,(1680!759),(1579!1130),(1433!1022),(1739!1217),(1120!1246),,,(42!682),,,,,,,,,,,,,(921!624),(158!92),,,,,,,,,,,,(992!920),,,,,,,,(1420!381),,,,,,,,,,,,,,
1026,,,(609!207),,(1680!759),(1579!1131),(1434!1023),(1740!1217),(1120!1247),,,(41!684),,,,,,,,,,,,,(915!622),(158!92),,,,,,,,,,,,(992!919),,,,,,,,(1420!381),,,(1128!658),,,,,,,,,,,
1027,,,(610!208),,(1680!759),(1579!1131),(1433!1022),(1741!1217),(1120!1247),,,(42!682),,,,,,,,,,,,,(915!622),(159!92),,,,,,,,,,,,(992!920),,,,,,,,,,,(1124!653),,,(1237!566),,,,,,,,
1028,,,(609!207),,(1680!759),(1579!1131),(1433!1022),(1741!1217),(1120!1246),,,(42!685),,,,,,,,,,,,,(921!624),(159!92),,,,,,,,,,,,(994!916),,,,,,,,,,,(1126!653),,,(1237!566),(1337!463),,,,,,,
1029,,,(609!209),,(1680!759),(1579!1131),(1433!1022),(1739!1217),(1120!1247),,,(42!682),,,,,,,,,,,,,(915!622),(159!92),,,,,,,,,,,,(992!920),,,,,,,,,,,(1125!653),,,(1238!566),(1337!460),,,,,,,
1030,,,(608!209),,(1680!759),(1579!1131),(1434!1022),(1739!1217),(1121!1247),,,(41!687),,,,,,,,,,,,,(914!622),(159!93),,,,,,,,,,,,(992!920),,,,,,,,,,,(1125!653),,,,(1337!460),,,,,,,
1031,,,(608!209),,(1680!759),(1579!1131),(1434!1022),(1741!1218),(1120!1247),,,(41!684),,,,,,,,,,,,,(914!622),(159!93),,,,,,,,,,,,(992!919),,,,,,,,,,,(1124!653),,,(1237!566),(1337!460),,,,,,,
1032,,,(607!209),,(1680!759),(1579!1131),(1434!1022),(1741!1217),(1119!1247),,,(42!687),,,,,,,,,,,,,(915!622),(159!93),,,,,,,,,,,,(992!919),,,,,,,,,,,(1124!653),,,,(1420!382),,,,,,,
1033,,,(607!209),,(1680!759),(1579!1130),(1434!1022),(1738!1217),(1120!1246),,,(41!689),,,,,,,,,,,,,(918!622),(159!93),,,,,,,,,,,,(992!920),,,,,,,,,,,(1125!653),,,,(1336!461),,,,,,,
1034,,,(606!210),,(1680!759),(1579!1130),(1434!1022),(1741!1217),(1119!1246),,,(42!694),,,,,,,,,,,,,(914!622),(159!93),,,,,,,,,,,,(993!915),,,,,,,,,,,(1127!653),,,,(1419!382),,,,,,,
1035,,,(605!210),,(1680!759),(1579!1131),(1434!1022),(1740!1216),(1120!1246),,,(42!693),,,,,,,,,,,,,(914!622),(159!93),,,,,,,,,,,,(992!919),,,,,,,,,,,(1123!653),,,,(1419!382),,,,,,,
1036,,,(606!211),,(1680!759),(1579!1131),(1434!1022),(1738!1216),(1119!1246),,,(43!694),,,,,,,,,,,,,(914!622),(159!93),,,,,,,,,,,,(993!915),,,,,,,,,,,(1124!653),,,,(1419!382),,,,,,,
1037,,,(604!211),,(1680!758),(1579!1131),(1434!1023),(1738!1217),(1119!1247),,,(44!699),,,,,,,,,,,,,(914!617),(159!93),,,,,,,,,,,,(992!920),,,,,,,,,,,(1124!653),,,(1237!566),(1420!382),,,,,,,
1038,,,(602!212),,(1680!758),(1579!1131),(1433!1022),(1741!1217),(1119!1247),,,(44!699),,,,,,,,,,,,,(914!617),(159!93),,,,,,,,,,,,(992!920),,,,,,,,,,,,,,,(1420!382),(1337!463),,,,,,
1039,,,(600!212),,(1680!759),(1580!1131),(1433!1022),(1740!1217),(1119!1247),,,(43!701),,,,,,,,,,,,,(921!617),(159!93),,,,,,,,,,,,(992!919),,,,,,,,,,,,,,,(1338!463),(1237!566),,,,,,
1040,,,(606!209),,(1680!759),(1579!1131),(1433!1022),(1741!1218),(1120!1247),,,(43!702),,,,,,,,,,,,,(921!617),(159!94),,,,,,,,,,,,(994!915),,,,,,,,(1419!382),,,,,,,(1338!462),(1237!566),,,,,,
1041,,,(599!214),,(1680!759),(1579!1131),(1434!1023),(1740!1217),(1119!1247),,,(42!704),,,,,,,,,,,,,(920!617),(159!94),,,,,,,,,,,,(992!919),,,,,,,,(1420!382),,,(1124!653),,,,(1338!462),(1241!562),,,,,,
1042,,,(598!214),,(1680!759),(1579!1131),(1434!1023),(1738!1217),(1119!1247),,,(42!704),,,,,,,,,,,,,(914!617),(159!95),,,,,,,,,,,,(992!920),,,,,,,,,,,,,,,(1338!462),,,,,,,
1043,,,(600!215),,(1680!759),(1579!1132),(1434!1023),(1740!1217),(1119!1247),,,(42!705),,,,,,,,,,,,,(921!617),(158!98),,,,,,,,,,,,(992!919),,,,,,,,(1420!382),,,,,,,(1338!463),(1241!562),,,,,,
1044,,,(597!218),,(1680!759),(1579!1132),(1433!1023),(1740!1218),(1120!1248),,,(42!705),,,,,,,,,,,,,(914!618),(159!97),,,,,,,,,,,,(992!920),,,,,,,,(1420!382),,,,,,,(1337!463),(1126!654),,,,,,
1045,,,(596!217),,(1680!759),(1579!1131),(1433!1023),(1740!1217),(1121!1248),,,(42!704),,,,,,,,,,,,,(915!618),(159!95),,,,,,,,,,,,(994!915),,,,,,,,(1419!382),,,,,,,(1337!462),(1125!653),,,,,,
1046,,,(596!217),,(1680!759),(1579!1131),(1433!1023),(1739!1217),(1121!1248),,,,,,,,,,,,,,,,(915!618),(159!95),,,,,,,,,,,,(992!920),,,,,,,,,,,,,,,(1337!462),,,,,,,
1047,,,(595!218),,(1680!759),(1579!1131),(1433!1022),(1740!1217),(1121!1248),,,(42!705),,,,,,,,,,,,,(915!617),(159!96),,,,,,,,,,,,(990!915),,,,,,,,(1420!381),,,(1121!653),,,,(1337!463),,,,,,,
1048,,,(594!219),,(1680!759),(1579!1131),(1432!1022),(1740!1217),(1121!1248),,,(41!705),,,,,,,,,,,,(444!550),(915!617),(159!96),,,,,,,,,,,,(992!920),,,,,,,,,,,(1121!653),,,,(1337!463),,,,,,,
1049,,,(593!220),,(1680!759),(1579!1132),(1434!1022),(1738!1217),(1121!1248),,,(41!704),,,,,,,,,,,,(444!550),(915!617),(159!96),,,,,,,,,,,,(992!919),,,,,,,,,,,(1122!653),,,,(1336!462),,,,,,,
1050,,,(592!221),,(1680!759),(1579!1131),(1432!1022),(1739!1217),(1121!1248),,,,,,,,,,,,,,,,(915!617),(158!96),,,,,,,,,,,,(990!919),,,,,,,,,,,(1120!653),,,(1237!566),(1336!462),,,,,,,
1051,,,(592!222),,(1680!759),(1579!1132),(1433!1022),(1740!1217),(1122!1248),,,(43!700),,,,,,,,,,,,(447!550),(915!617),(158!96),,,,,,,,,,,,(992!919),,,,,,,,,,,(1124!653),,,,(1337!462),,,,,,,
1052,,,(599!218),,(1681!759),(1579!1132),(1435!1022),(1739!1217),(1122!1249),,,,,,,,,,,,,,,,(914!617),(158!95),,,,,,,,,,,,(994!916),,,,,,,,,,,(1124!653),,,(1237!566),(1337!462),,,,,,,
1053,,,(590!223),,(1681!759),(1579!1131),(1433!1022),(1740!1216),(1122!1249),,,(45!696),,,,,,,,,,,,,(915!617),(159!96),,,,,,,,,,,,(992!919),,,,,,,,(1419!381),,,(1122!653),,,,(1337!462),,,,,,,
1054,,,(590!224),,(1681!759),(1580!1132),(1433!1022),(1740!1217),(1122!1249),,,,,,,,,,,,,,,,(914!617),(159!96),,,,,,,,,,,,(992!915),,,,,,,,,,,,,,,(1337!460),,,,,,,
1055,,,(589!224),,(1681!759),(1579!1132),(1433!1023),(1740!1217),(1122!1248),,,,,,,,,,,,,,,,(914!618),(159!94),,,,,,,,,,,,(992!919),,,,,,,,(1420!382),,,(1122!653),,,(1241!562),(1337!463),,,,,,,
