frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_24,ID_27,ID_28,ID_29,ID_30,ID_31,ID_32,ID_34,ID_36,ID_38,ID_40,ID_41,ID_42,ID_43,ID_47,ID_48,ID_50,ID_51,ID_52,ID_53,ID_55,ID_56,ID_57,ID_58,ID_59,ID_61,ID_64,ID_66,ID_69,ID_70,ID_71,ID_72,ID_73,ID_74,ID_77,ID_79,ID_80,ID_82,ID_83,ID_84,ID_85,ID_86,ID_87,ID_88,ID_89,ID_90,ID_91,ID_92,ID_93,ID_94,ID_95,ID_96,ID_97,ID_98,ID_99,ID_100,ID_101,ID_102,ID_103,ID_104,ID_105,ID_106,ID_107,ID_108,ID_109,ID_110,ID_111,ID_112,ID_113,ID_114,ID_115,ID_116,ID_117,ID_118,ID_119,ID_120,ID_121,ID_122,ID_124,ID_125,ID_127,ID_129,ID_130,ID_131,ID_133,ID_134,ID_135,ID_137,ID_138,ID_139,ID_140,ID_141,ID_143,ID_144,ID_145,ID_147,ID_148,ID_149,ID_150,ID_151,ID_153,ID_154,ID_155,ID_156,ID_157,ID_158,ID_159,ID_160,ID_161,ID_162,ID_164,ID_165,ID_166,ID_167,ID_168,ID_169,ID_170
319,,(1747!370),,,(103!666),(1685!1154),,,,(1500!549),,,,(831!1148),,,,,,,,,,,,,,,(966!58),,,,,,,,(1003!797),(1751!1015),(1566!326),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,,(1747!375),,,(103!665),(1685!1154),,,,(1499!549),,,,(831!1149),,,,,,,,,,,,,,,(966!58),,,,,,,,,(1751!1015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,,(1747!375),,,(104!665),(1687!1154),,,,(1499!549),,,,(831!1148),,,,,,,,,,,,,,,(966!59),,,,,,,,,(1752!1014),(1566!325),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,,(1748!375),,,(107!666),(1687!1155),,,,,,,,(831!1148),,,,,,,,,,,,,,,(966!60),,,,,,,,,(1751!1015),(1566!325),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,,(1748!370),,,(107!667),(1687!1155),,,,,,,,(830!1149),,,,,,,,,,,,,,,,,,,,,,,,(1532!1140),(1499!549),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,,(1748!370),,,(109!670),(1687!1156),,,,,,,,(830!1148),,,,,,,,,,,,,,,,,,,,,,,,,(1499!549),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,,(1748!370),,,(110!669),(1687!1156),,,,,,,,(830!1148),,,,,,,,,,,,,,,(967!60),,,,,(1532!1140),,,,,(1499!549),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,,(1748!370),,,(111!669),(1687!1155),,,,,,,,(830!1148),,,,,,,,,,,,,,,,,,,,,,,,,(1499!546),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,,(1748!370),,,(112!671),(1688!1155),,,,,,,,(830!1150),,,,,,,,,,,,,,,,,,,,(1532!1140),,,,,(1500!544),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,,(1748!370),,,(113!671),(1688!1155),,,,,,,,(830!1149),,,,,,,,,,,,,,,(968!61),,,,,(1532!1140),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,,(1747!370),,,(114!671),(1688!1154),,,,,,,,(830!1148),,,,,,,,,,,,,,,(967!61),,,,,(1532!1140),,,,,(1505!538),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,,(1747!370),,,(115!671),(1688!1156),,,,,,,,(830!1148),,,,,,,,,,,,,,,,,,,,(1532!1140),,,,,(1504!535),(1566!327),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,,(1747!370),,,(115!672),(1688!1155),,,,,,,,(830!1148),,,,,,,,,,,,,,,(967!61),,,,,(1532!1140),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,,(1747!374),,,(115!673),(1688!1154),,,,,,,,(830!1148),,,,,,,,,,,,,,,(967!61),,,,,(1532!1140),,,,,(1504!529),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,,(1747!370),,,(117!673),(1688!1155),,,,,,,,(830!1148),,,,,,,,,,,,,,,,,,,,(1532!1140),,,,,(1504!527),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,,(1747!370),,,(119!673),(1688!1155),,,,,,,,(830!1148),,,,,,,,,,,,,,,,,,,,,,,,,(1505!525),(1565!327),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,,(1748!370),,,(120!673),(1688!1156),,,,,,,,(830!1148),,,,,,,,,,,,,,,,,,,,,,,,,,(1566!323),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,,(1747!370),,,(122!676),(1688!1157),,,,,,,,(830!1148),,,,,,,,,,,,,,,,,,,,,,,,,,(1566!328),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,,(1748!370),,,(123!678),(1689!1157),,,,,,,,(830!1148),,,,,,,,,,,,,,,,,,,,,,,,,(1508!519),(1565!327),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,,(1748!370),,,(124!680),(1690!1160),,,,,,,,(830!1148),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,,(1748!371),,,(125!681),(1692!1162),,,,,,,,(830!1149),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,,(1747!371),,,(126!682),(1693!1164),,,,,,,,(830!1149),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,,(1748!370),,,(127!684),(1695!1169),,,,,,,,(830!1149),,,,,,,,,,,,,,,,,,,,,,,,,(1505!505),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,,(1748!370),,,(128!684),(1697!1171),,,,,,,,(830!1148),,,,,,,,,,,,,,,,,,,,,,,,,(1504!503),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,,(1748!370),,,(129!684),(1695!1175),,,,,,,,(830!1148),,,,,,,,,,,,,,,,,,,,,,,,,(1504!503),(1565!328),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,,(1748!374),,,(130!683),(1696!1178),,,,,,,,(830!1148),,,,,,,,,,,,,,,(966!68),,,,,,,,,,(1504!502),(1565!328),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,,(1748!370),,,(130!683),(1697!1183),,,,,,,,(830!1147),,,,,,,,,,,,,,,(966!69),,,,,,,,,,(1504!502),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,,(1747!370),,,(132!685),,,,,,,,,(830!1148),,,,,,,,,,,,,,,(966!71),,,,,,,,,,(1503!502),(1565!328),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,,(1747!370),,,(132!685),(1699!1190),,,,,,,,(830!1149),,,,,,,,,,,,,,,(965!72),,,,,,,,,,(1503!502),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,,(1747!370),,,(134!687),(1700!1194),,,,,,,,(830!1148),,,,,,,,,,,,,,,(964!75),,,,,,,,,,(1503!502),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,,(1747!370),,,(135!688),(1702!1199),,,,,,,,(830!1148),,,,,,,,,(1750!429),,,,,,(965!75),,,,,,,,,,(1503!501),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,,(1747!370),,,(137!690),(1700!1200),,,,,,,,(830!1150),,,,,,,,,(1750!431),,,,,,(965!76),,,,,,,,,,(1503!501),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,,(1748!370),,,(138!691),(1699!1203),,,,,,,,(830!1148),,,,,,,,,(1566!329),,,,,,(965!77),,,,,,,,,,(1503!499),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,,(1751!382),,,(139!692),(1700!1210),,,,,,,,(830!1148),,,,,,,,,,,,,,,(965!78),,,,,,,,,,(1503!499),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,,(1748!371),,,(140!692),(1700!1212),,,,,,,,(830!1149),,,,,,,,,,,,,,,,,,,,,,,,,(1503!498),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,,(1748!381),,,(141!694),,,,,,,,,(830!1149),,,,,,,,,,,,,,,,,,,,,,,,,(1503!498),(1566!327),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,,(1749!418),,,(141!695),(1700!1219),,,,,,,,(830!1148),,,,,,,,,,,,,,,(966!79),,,,,(1532!1140),,,,,(1504!497),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,,(1749!430),,,(142!696),,,,,,,,,(830!1148),,,,,,,,,,,,,,,(966!80),,,,,,,,,,(1504!497),(1567!328),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,,,,,(144!698),,,,,,,,,(830!1149),,,,,,,,,,,,,,,(966!80),,,,,,,,,,(1504!497),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,,(1749!401),,,(146!699),(1701!1228),,,,,,,,(830!1148),,,,,,,,,,,,,,,(967!81),,,,,,,,,,(1504!496),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,,(1748!375),,,(148!700),(1702!1229),,,,,,,,(830!1148),,,,,,,,,,,,,,,(967!82),,,,,,,,,,(1504!496),(1566!327),,,(1749!420),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,,(1751!384),,,(150!702),(1530!1140),,,,,,,,(830!1148),,,,,,,,,,,,,,,,,,,,,,,,,(1504!496),,,,(1749!401),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,,(1748!371),,,(150!702),,,,,,,,,(830!1148),,,,,,,,,,,,,,,,,,,,,,,,,(1504!496),,(1751!1044),,(1566!327),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,,(1751!384),,,(151!702),,,,,,,,,(830!1148),,,,,,,,,,,,,,,(968!83),,,,,,,,,,(1504!496),,(1751!1044),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,,(1749!401),,,(151!704),,,,,,,,,(830!1148),,,,,,,,,,,,,,,,,,,,,,,,,(1504!496),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,,(1751!385),,,(154!706),,,,,,,,,(830!1148),,,,,,,,,,,,,,,(968!85),,,,,(1532!1141),,,,,(1504!496),,(1670!1068),,,(1703!1233),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,,(1747!370),,,(155!707),,,,,,,,,(830!1148),,,,,,,,,,,,,,,,,,,,,,,,,(1504!496),(1565!327),,,,(1703!1233),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,,(1751!384),,,(156!708),,,,,,,,,(830!1148),,,,,,,,,,,,,,,,,,,,,,,,,(1504!496),,(1751!1048),,,(1703!1234),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,,(1751!384),,,(157!709),,,,,,,,,(830!1148),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(1703!1234),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,,(1752!384),,,(158!711),,,,,,,,,(830!1148),,,,,,,,,,,,,,,,,,,,,,,,,,,(1752!1054),,,(1703!1234),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,,(1752!384),,,(159!713),,,,,,,,,(830!1148),,,,,,,,,,,,,,,,,,,,,,,,,(1504!496),,(1532!1140),,,(1703!1231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,,(1751!385),,,(160!714),,,,,,,,,(830!1148),,,,,,,,,,,,,,,,,,,,,,,,,(1504!495),,,(880!599),,(1751!1058),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,,(1751!385),,,(160!715),,,,,,,,,(830!1148),,,,,,,,,,,,,,,,,,,,,,,,,(1504!495),,,,,(1752!1059),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,,(1747!370),,,(162!717),,,,,,,,,(830!1148),,,,,,,,,,,,,,,,,,,,,,,,,(1504!495),,,,,(1751!1061),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,,(1750!385),,,(163!718),,,,,,,,,(830!1148),,,,,,,,,,,,,,,,,,,,,,,,,(1504!495),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,,(1747!370),,,(163!719),,,,,,,,,(831!1148),,,,,,,,,,,,,,,,,,,,,,,,,(1504!495),,,,,(1751!1065),,(1703!1231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,,(1747!370),,,(165!720),,,,,,,,,(831!1148),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(1751!1065),,(1703!1227),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,,(1747!371),,,(165!721),,,,,,,,,(831!1149),,,,,,,,,,,,,,,,,,,,,,,,,,(1562!325),,,,(1751!1068),,(1702!1231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,,(1747!371),,,(166!723),,,,,,,,,(831!1149),,,,,,,,,,,,,,,,,,,,(1532!1140),,,,,,,,(884!587),,(1751!1069),,(1703!1230),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,,(1747!373),,,(167!726),,,,,,,,,(831!1148),,,,,,,,,,,,,,,,,,,,,,,,,,,,(885!586),,(1751!1068),,(1702!1230),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,,(1746!375),,,(169!728),,,,,,,,,(831!1148),,,,,,,,,,,,,,,,,,,,,,,,,,,,(885!585),,(1751!1071),,(1702!1231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,,(1747!375),,,(169!729),,,,,,,,,(831!1148),,,,,,,,,,,,,,,,,,,,,,,,,,,,(886!584),,(1752!1072),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,,(1747!375),,,(170!730),,,,,,,,,(831!1149),,,,,,,,,,,,,,,,,,,,,,,,,,,,(886!583),,(1752!1073),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,,(1747!370),,,(170!732),,,,,,,,,(831!1148),,,,,,,,,,,,,,,,,,,,(1532!1140),,,,,,,,(886!583),,(1707!1113),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,,(1747!370),,,(170!734),,,,,,,,,(831!1148),,,,,,,,,,,,,,,,,,,,,,,,,,,,(886!583),,(1751!1082),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,,(1747!370),,,(170!736),,,,,,,,,(830!1148),,,,,,,,,,,,,,,,,,,,,,,,,,,,(886!584),,(1752!1083),,(1696!1234),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,,(1747!370),,,(169!736),,,,,,,,,(830!1148),,,,,,,,,,,,,,,,,,,,,,,,,,,,(886!584),,(1751!1083),,(1696!1235),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,,(1750!390),,,(170!739),,,,,,,,,(831!1148),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(1752!1086),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,,(1750!434),,,(171!741),,,,,,,,,(831!1148),,,,,,,,,,,,,,,,,,,,,,,,,,,,(886!585),,(1752!1087),(1747!370),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,,(1750!428),,,(171!742),,,,,,,,,(830!1147),,,,,,,,,,,,,,,,,,,,,,,,,,,,(886!584),,(1691!1239),(1747!371),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,,(1751!428),,,(173!743),,,,,,,,,(830!1148),,,,,,,,,,,,,,,,,,,,,,,,,,(1560!322),,(885!584),,(1690!1240),(1747!370),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,,(1750!428),,,(173!745),,,,,,,,,(836!1148),,,,,,,,,,,,,,,,,,,,,,,,,,,,(886!584),,(1687!1242),(1751!392),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,,(1750!429),,,(171!747),,,,,,,,,(831!1148),,,,,,,,,,,,,,,,,,,,,,,,,,,,(885!585),,(1687!1242),(1751!391),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,,(1750!422),,,(172!748),,,,,,,,,(831!1148),,,,,,,,,,,,,,,,,,,,,,,,,,,,(886!586),,(1686!1243),(1747!371),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,,(1750!422),,,(173!750),,,,,,,,,(836!1148),,,,,,,,,,,,,,,,,,,,,,,,,,,,(885!588),,,(1747!371),,(1751!1096),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,,(1750!440),,,(174!752),,,,,,,,,(830!1148),,,,,,,,,,,,,,,,,,,,,,,,,,,,(884!589),,,(1747!375),,(1686!1243),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,,(1750!441),,,(174!753),,,,,,,,,(836!1148),,,,,,,,,,,,,,,,,,,,,,,,,,,,(883!590),,,(1747!375),,(1686!1243),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,,(1750!411),,,(174!753),,,,,,,,,(830!1148),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(1747!371),,(1686!1243),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
