frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_8,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27,ID_28,ID_29,ID_30,ID_31,ID_32,ID_33,ID_34,ID_35,ID_36,ID_37,ID_38,ID_41,ID_42,ID_43,ID_44,ID_45,ID_46,ID_47,ID_50,ID_51,ID_52,ID_53,ID_54,ID_55,ID_57,ID_58,ID_59,ID_60,ID_63,ID_64,ID_66,ID_67,ID_69,ID_70,ID_72,ID_73,ID_74,ID_76,ID_77,ID_78,ID_79,ID_80,ID_81,ID_82,ID_83,ID_84,ID_85,ID_86,ID_87,ID_88,ID_90,ID_91,ID_92,ID_93,ID_94,ID_95,ID_96,ID_97,ID_99,ID_100,ID_101,ID_102,ID_103,ID_104,ID_105,ID_106,ID_107,ID_108,ID_109,ID_110,ID_111,ID_112,ID_114,ID_115,ID_117,ID_118,ID_119,ID_120,ID_121,ID_122,ID_124,ID_125,ID_126,ID_127,ID_130,ID_132,ID_134,ID_135,ID_136,ID_137,ID_142,ID_143,ID_144,ID_145,ID_146,ID_147,ID_148,ID_149,ID_150,ID_151,ID_152,ID_153
340,(217!168),(1413!581),,,,,,(1141!203),,,(544!245),,,,,,,,,,,(997!582),,,,(1127!1343),,,(339!574),,,,,(1553!682),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,(218!169),(1309!914),,,,,,,,,,,,,,,(1414!581),,,,,(997!582),,,,(1133!1343),,,(341!575),,(21!723),,,(1553!682),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,(218!171),(1309!913),,,,,,,,,,,,,,,(1413!581),,,,,(997!581),,,,(1132!1342),,,(341!575),,,,,(1553!680),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,(218!168),(1189!970),,,,,,,,,,,,,,,(1413!581),,,,,(997!582),,,,(1132!1340),,,(341!575),,,,,(1553!682),(1461!263),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,(219!167),,,,,,,,,,,,,,,,(1413!581),,,,,(997!582),,,,(1132!1341),,,(341!575),,(19!727),,,(1553!680),(1461!263),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,(218!167),(1188!971),,,,,,,,,,,,,,,(1413!580),,,,,(997!582),,,,(1133!1340),,,(341!575),,,,,(1553!680),(1461!263),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,(218!166),,,,,,,,,,(543!245),,,,,,(1414!580),,,,,(997!582),,,,(1134!1340),,,(342!576),,,,,(1553!681),(1141!202),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,(219!167),,,,,,,,,,,,,,,,(1418!575),,,,,(997!582),,,,(1130!1342),,,(342!576),,,,,(1553!681),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,(219!166),(1189!969),,,,,,,,,,,,,,,(1418!575),,,,,(1000!582),,,,(1130!1343),,,(343!577),,,,(1141!200),(1553!681),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,(220!168),,,,,,,,,,,,,,,,(1418!575),,,,,(997!581),,,,(1124!1343),,,(342!577),,,,,(1553!679),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
