frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_12,ID_13,ID_14
586,(564!54),(293!190),(665!854),(372!756),(692!1015),,,(767!1024),,,,,,
587,,(293!189),(667!853),(372!756),(693!1015),,,(767!1024),,,,,,
588,(566!54),(293!189),(668!853),(372!756),(693!1015),,,(767!1024),,,,,,
589,(568!55),(293!189),(669!855),(372!756),(693!1015),,,(767!1024),,,,,,
590,,(293!190),(671!854),(372!756),(693!1015),,,(768!1024),,,,,,
591,,(293!189),(673!854),(372!756),(693!1015),,,(768!1024),,,,,,
592,,(293!189),(674!854),(372!756),(693!1015),,,(767!1024),,,,,,
593,(569!55),(293!189),(677!854),(372!756),(693!1015),,,(768!1024),,,,,,
594,(570!56),(293!190),(678!853),(372!755),(693!1015),,,(768!1024),,,,,,
595,(571!56),(293!189),(679!853),(372!756),(693!1015),,,(768!1024),,,,,,
596,,(293!189),(681!853),(371!756),(693!1015),,,(768!1024),,,,,,
597,,(293!190),(684!853),(372!755),(694!1014),,,(767!1024),,,,,,
598,,(293!190),(686!853),(372!756),(693!1014),,,(767!1024),,,,,,
599,(579!57),(293!189),(687!852),(372!756),(693!1015),,,(768!1024),,,,,,
600,,(293!189),(689!852),(372!755),(693!1014),,,(767!1023),,,,,,
601,,(293!190),(690!853),(372!756),(693!1015),,,(767!1024),,,,,,
602,,(293!189),(691!853),(372!755),(693!1014),,,(767!1024),,,,,,
603,,(293!189),(692!853),(372!756),(693!1015),,,(768!1024),,,,,,
604,(582!54),(293!189),(692!853),(372!756),(693!1015),,,(767!1024),,,,,,
605,,(293!189),(694!854),(372!755),(693!1015),,,(767!1024),,,,,,
606,(583!55),(293!189),(695!852),(372!755),(693!1014),,,(767!1024),,,,,,
607,,(293!189),(696!853),(372!755),(694!1015),,,(767!1024),,,,,,
608,(586!54),(293!189),(697!852),(372!755),(693!1014),,,(767!1024),,,,,,
609,(586!55),(293!189),(697!852),(372!755),(694!1014),,,(767!1024),,,,,,
610,(588!55),(293!189),(698!851),(371!755),(693!1014),,,(767!1023),,,,,,
611,(589!56),(294!189),(699!851),(372!756),(693!1014),,,(768!1024),,,,,,
612,(590!55),(293!189),(701!850),(372!755),(693!1014),,,(767!1023),,,,,,
613,(591!55),(293!189),(703!849),(373!755),(693!1014),,,(767!1024),,,,,,
614,(592!55),(293!189),(704!849),(372!755),(693!1014),,,(767!1024),,,,,,
615,(593!56),(293!189),(706!849),(372!756),(694!1014),,,(767!1024),,,,,,
616,(594!55),(293!189),(708!847),(372!754),(693!1014),,,(767!1023),,,,,,
617,(595!55),(293!190),(708!847),(372!756),(694!1015),,,(767!1024),,,,,,
618,(595!54),(293!189),(709!847),(372!756),(694!1015),,,(767!1024),,,,,,
619,(596!54),(293!189),(711!845),(372!756),(694!1015),,,(767!1024),,,,,,
620,(595!53),(293!189),(713!845),(372!756),(693!1014),,,(768!1024),,,,,,
621,,(292!189),(714!844),(372!756),(693!1014),,,(768!1024),,,,,,
622,(597!52),(293!189),(715!843),(372!756),(693!1014),,,(768!1023),,,,,,
623,(599!55),(293!189),(715!844),(372!756),(694!1015),,,(767!1024),,,,,,
624,(599!54),(293!189),(717!843),(372!756),(693!1014),,,(768!1024),,,,,,
625,(599!53),(293!189),(718!842),(372!756),(694!1014),,,(768!1024),,,,,,
626,(601!54),(293!189),(719!841),(372!756),(693!1015),,,(768!1024),,,,,,
627,(603!54),(293!189),(720!841),(372!756),(694!1014),,,(768!1024),,,,,,
628,,(293!190),(723!841),(372!756),(694!1015),,,(768!1024),,,,,,
629,,(292!189),(724!840),(371!756),(694!1014),,,(768!1024),,,,,,
630,(609!54),(293!189),(725!838),(372!756),(693!1014),,,(768!1023),,,,,,
631,(609!54),(292!189),(727!837),(372!755),(693!1014),,,(768!1023),,,,,,
632,(610!54),(293!189),(728!838),(372!756),(694!1014),,,(767!1024),,,,,,
633,(611!54),(293!189),(729!838),(372!756),(694!1014),,,(767!1023),,,,,,
634,(611!54),(293!190),(730!837),(372!755),(694!1015),,,(768!1024),,,,,,
635,(611!54),(293!189),(732!837),(372!755),(694!1014),,,(768!1024),,,,,,
636,(613!54),(293!190),(734!837),(372!756),(694!1015),,,(768!1024),,,,,,
637,(613!54),(293!189),(736!837),(372!755),(694!1014),,,(768!1024),,,,,,
638,(615!56),(293!190),(737!836),(372!755),(694!1015),,,(768!1024),,,,,,
639,(615!55),(293!189),(739!836),(372!756),(694!1014),,,(768!1023),,,,,,
640,(616!56),(293!190),(735!837),(372!756),(694!1015),,,(768!1024),,,,,,
641,,(292!190),(742!835),(371!756),(694!1015),,,(768!1024),,,,,,
642,(619!55),(293!190),(739!835),(372!755),(694!1015),,,(768!1024),,,,,,
643,,(292!190),(746!832),(371!756),(693!1014),,,(768!1024),,,,,,
644,,(293!189),(748!831),(372!756),(694!1014),,,(768!1024),,,,,,
645,,(293!189),(749!831),(372!756),(694!1015),,,(768!1024),,,,,,
646,,(293!189),(749!831),(372!756),(694!1014),,,(767!1024),,,,,,
647,,(292!189),(751!831),(372!756),(694!1015),,,(768!1024),,,,,,
648,,(293!190),(752!831),(372!757),(694!1015),,,(767!1024),,,,,,
649,,(293!189),(753!830),(372!756),(694!1015),,,(767!1024),,,,,,
650,,(293!190),(756!830),(372!756),(694!1015),,,(768!1024),,,,,,
651,,(293!189),(756!829),(372!756),(693!1015),,,(768!1024),,,,,,
652,,(293!189),(757!829),(372!756),(693!1015),,,(767!1024),,,,,,
653,,(293!189),(759!829),(372!756),(693!1015),,,(767!1024),,,,,,
654,,(293!190),(760!828),(372!756),(693!1015),,,(768!1024),,,,,,
655,,(293!190),(762!827),(372!756),(693!1015),,,(768!1024),,,,,,
656,(621!54),(293!190),(763!827),(372!756),(694!1015),,,(768!1024),,,,,,
657,(619!54),(293!190),(765!826),(372!757),(694!1015),,,(768!1024),,,,,,
658,,(293!190),(766!825),(372!756),(693!1015),,,(768!1024),,,,,,
659,,(293!189),(767!824),(371!756),(693!1014),,,(767!1024),,,,,,
660,,(293!190),(769!824),(371!756),(693!1015),,,(768!1024),,,,,,
661,,(293!189),(770!823),(371!756),(693!1015),,,(768!1024),,,,,,
662,,(293!190),(772!822),(372!756),(693!1015),,,(767!1024),,,,,,
663,,(292!189),(773!822),(371!756),(693!1014),,,(767!1024),,,,,,
664,(623!54),(293!190),(775!822),(372!756),(693!1015),,,(767!1024),,,,,,
665,,(293!189),(776!823),(372!756),(693!1015),,,(767!1024),,,,,,
666,,(293!190),(778!822),(372!754),(693!1015),,,(768!1024),,,,,,
667,(623!52),(292!189),(779!821),(372!756),(693!1015),,,(767!1024),,,,,,
668,,(293!190),(781!822),(372!756),(694!1015),,,(767!1024),,,,,,
669,(618!55),(293!189),(782!820),(372!756),(694!1015),,,(768!1024),,,,,,
670,(622!55),(293!190),(783!820),(372!755),(694!1015),,,(768!1024),,,,,,
671,,(293!189),(784!819),(372!755),(693!1015),,,(767!1024),,,,,,
672,(623!53),(293!190),(787!817),(372!755),(694!1015),,,(768!1024),,,,,,
673,(618!52),(293!189),(788!817),(372!755),(693!1015),,,(767!1024),,,,,,
674,,(293!189),(790!816),(372!755),(694!1014),,,(768!1024),,,,,,
