frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14
191,(1297!75),(121!72),(349!665),(1122!812),(134!977),,,,,,,,,,
192,(1297!75),(121!72),(349!666),(1122!812),(134!976),,,,(869!46),,,,,,
193,(1296!75),(121!72),(348!665),(1121!812),(134!976),,,,,,,,,,
194,(1296!76),(120!72),(348!666),(1121!812),(134!976),,,,(869!47),,,,,,
195,(1296!76),(120!73),(348!666),(1121!812),(134!976),,,,,,,,,,
196,(1296!76),(121!73),(348!666),(1121!812),(134!976),,,,,,,,,,
197,(1295!76),(121!73),(348!666),(1120!812),(134!976),,,,,,,,,,
198,(1296!76),(121!73),(348!666),(1119!812),(135!975),,,,,,,,,,
199,(1296!76),(120!73),(348!667),(1119!813),(135!975),,,,,,,,,,
200,(1297!76),(121!73),(348!666),(1118!812),(135!974),,,,(869!47),,,,,,
201,(1296!76),(121!73),(348!666),(1118!811),(136!973),,,,,,,,,,
202,(1297!76),(121!73),(348!666),(1117!811),(136!972),,,,,,,,,,
203,(1296!76),(121!73),(348!666),(1117!811),(137!971),,,(47!583),,,,,,,
204,(1296!75),(121!73),(348!666),(1116!811),(138!970),,,,(868!46),,,,,,
205,(1296!75),(121!72),(349!666),(1115!811),(138!968),,,,(872!49),,,,,,
206,(1296!75),(121!72),(349!666),(1115!812),(138!969),,,,,,,,,,
207,(1296!75),(121!72),(349!666),(1115!812),(139!969),,,,,,,,,,
208,(1297!75),(121!72),(349!666),(1114!812),(139!969),,,,(869!46),,,,,,
209,(1297!75),(121!72),(349!666),(1113!813),(139!969),,,,,,,,,,
210,(1297!75),(121!72),(349!666),(1112!813),(139!969),,,,,,,,,,
211,(1296!75),(121!73),(349!666),(1111!813),(139!969),,,,(872!46),,,,,,
212,(1296!75),(121!72),(348!666),(1114!811),(139!969),,,,(866!46),,,,,,
213,(1296!76),(121!73),(348!666),(1114!812),(139!969),,,,,,,,,,
214,(1296!76),(120!73),(348!666),(1110!814),(139!969),,,,,,,,,,
215,(1296!76),(120!73),(348!666),(1108!813),(139!969),,,,,,,,,,
216,(1296!76),(120!72),(347!666),(1110!812),(139!969),,,,(868!46),,,,,,
217,(1296!76),(120!73),(348!666),(1106!814),(139!969),,,,,,,,,,
218,(1296!76),(120!73),(348!666),(1106!814),(139!969),,,,,,,,,,
219,(1296!76),(120!73),(348!666),(1105!814),(139!968),,,,(868!46),,,,,,
220,(1297!76),(120!73),(348!666),(1104!814),(139!967),,,,(866!46),,,,,,
221,(1297!75),(121!72),(348!665),(1104!814),(140!966),,,,(871!49),,,,,,
222,(1297!75),(121!73),(348!666),(1103!815),(140!965),,,,(869!46),,,,,,
223,(1297!75),(121!72),(348!665),(1103!815),(141!963),,,,,,,,,,
224,(1297!75),(121!71),(348!665),(1103!815),(141!963),,,,,,,,,,
225,(1297!75),(121!72),(349!665),(1103!815),(141!962),,,,(868!46),,,,,,
226,(1297!74),(121!71),(349!665),(1103!815),(141!961),,,,(869!45),,,,,,
227,(1297!74),(121!72),(349!665),(1102!815),(141!962),,,,(869!46),,,,,,
228,(1297!74),(121!72),(348!665),(1101!815),(140!961),,,,(870!46),,,,,,
229,(1297!75),(121!72),(348!665),(1100!815),(141!961),,,,(870!46),,,,,,
230,(1297!75),(121!72),(348!665),(1099!816),(140!961),,,,(872!49),,,,,,
231,(1296!75),(121!72),(348!665),(1098!816),(140!961),,,,(867!46),,,,,,
232,(1297!75),(121!72),(348!665),(1097!816),(140!960),,,,(872!48),,,,,,
233,(1296!75),(121!72),(348!666),(1096!817),(140!960),,,,(872!49),,,,,,
234,(1296!75),(120!72),(348!666),(1096!817),(140!960),,,,,,,,,,
235,(1296!76),(119!72),(347!666),(1095!817),(140!959),,,,(868!46),,,,,,
236,(1296!76),(120!73),(348!666),(1095!818),(140!959),,,,,,,,,,
237,(1296!76),(120!72),(348!666),(1094!818),(139!959),,,,(869!46),,,,,,
238,(1296!76),(120!73),(348!666),(1094!818),(139!959),,,,,,,,,,
239,(1297!75),(120!72),(348!666),(1093!818),(141!958),,,,(869!46),,,,,,
240,(1297!75),(120!72),(348!666),(1093!818),(140!958),,,,,,,,,,
241,(1296!75),(120!72),(348!666),(1092!817),(140!958),,,,(870!46),,,,,,
242,(1297!75),(121!72),(348!666),(1091!817),(140!958),,,,(870!47),,,,,,
243,(1297!74),(121!72),(348!666),(1091!816),(141!957),,,,(870!46),,,,,,
244,(1297!74),(121!72),(349!666),(1090!817),(141!957),,,,(872!46),,,,,,
245,(1297!75),(121!72),(348!666),(1089!816),(141!957),,,,(869!46),,,,,,
246,(1296!75),(121!73),(349!666),(1088!816),(141!957),,,,(869!46),,,,,,
247,(1297!75),(121!72),(349!666),(1087!816),(141!957),,,,(870!46),,(105!1030),,,,
248,(1297!75),(121!72),(349!666),(1086!817),(141!957),,,,(867!46),,(105!1030),,,,
249,(1298!75),(120!72),(349!666),(1084!817),(141!957),,,,(869!46),,(105!1030),,,,
250,(1297!75),(120!72),(348!667),(1083!818),(141!958),,,,(869!47),,(105!1030),,,,
251,(1297!76),(120!73),(349!666),(1083!818),(141!958),,,,(869!47),,(105!1030),,,,
252,(1297!76),(120!73),(348!666),(1082!818),(141!958),,,,,,(105!1030),,,,
253,(1297!76),(120!73),(348!666),(1081!819),(141!958),,,,(866!47),,(104!1030),,,,
254,(1297!76),(120!73),(348!666),(1079!818),(141!958),,,,(872!49),,,,,,
255,(1297!76),(120!73),(348!667),(1078!818),(141!958),,,,(869!47),,,,,,
256,(1297!76),(120!73),(348!667),(1078!818),(141!958),,,,(869!47),,,,,,
257,(1297!75),(120!72),(348!666),(1078!818),(141!958),,,,(872!48),,,,,,
258,(1297!75),(120!72),(348!666),(1076!818),(141!957),,,,(869!46),,,,,,
259,(1298!75),(120!72),(349!666),(1076!818),(141!957),,,(45!428),(871!46),,,,,,
260,(1297!74),(121!72),(349!666),(1075!817),(141!957),,,(45!430),(866!46),,,,,,
261,(1297!74),(121!72),(349!666),(1074!817),(142!956),,,,(866!46),,,,,,
262,(1298!74),(121!72),(349!665),(1074!817),(142!956),,,,(871!46),,,,,,
263,(1298!75),(121!72),(349!665),(1072!816),(142!955),,,,,,,,,,
264,(1298!74),(121!72),(349!665),(1071!816),(142!955),,,,(874!49),,,,,,
265,(1298!75),(121!72),(349!666),(1070!816),(142!954),,,,(873!49),,,,,,
266,(1297!75),(121!72),(349!666),(1068!817),(142!955),,,,(873!49),,,,,,
267,(1297!75),(121!73),(349!666),(1068!817),(143!954),,,,(873!50),(1393!936),,,,,
268,(1298!75),(121!73),(349!666),(1071!817),(141!954),,,,(866!47),,,,,,
