frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14
134,,(1353!852),,,(1323!204),,,,(1249!163),(849!857),,,,,
135,(952!770),(1353!851),,,(1325!206),,(437!70),,(1248!163),(849!857),(486!76),,,,
136,,,,,(1323!203),,(437!69),,(1248!163),(848!856),,,,,
137,,,,,(1323!203),,(437!69),,(1248!163),(849!856),,,(461!104),,
138,,(1353!850),,,(1323!203),,(436!69),,(1248!162),(849!855),,,(461!104),,
139,,,,,(1323!202),,(436!68),,(1248!162),(847!855),,,(460!103),,
140,,,,,(1324!202),,(437!68),,(1248!162),(848!854),,,,,
141,,(1353!849),,,(1324!203),,(436!68),,(1247!162),,,,(461!103),,
142,,,,(96!466),(1325!210),,(436!68),,(1247!162),(848!854),,,,,
143,,,,(98!467),(1324!209),,(436!68),,(1247!163),(847!854),(485!76),,,,
144,,,,,(1324!204),,(436!68),,(1248!163),,(460!103),,,,
145,,,,,(1324!205),,(436!68),,,(847!854),(460!103),,(485!75),,
146,,,,,(1324!206),,(436!68),,(1247!164),(847!855),(460!104),,(485!76),,
147,,,,(94!468),(1327!208),,(436!69),,(1248!164),(847!855),,,,,
148,,,,,(1327!208),,(435!69),,(1248!165),,(460!105),,(486!77),,
149,(951!770),,,,(1325!208),,(436!69),,,(847!855),,,(485!77),,
150,,,,(96!469),(1329!210),,(436!70),,,(848!856),(461!106),,(485!78),,
151,(951!771),(1353!852),,(100!468),(1328!211),,(435!71),,,(847!856),(461!106),,(486!78),,
152,(952!771),,,(99!469),(1330!211),,(435!70),,,,(461!106),,(485!78),,
153,(952!771),(1353!852),,(99!469),(1326!211),,(436!70),,(1248!165),,(462!106),,(486!78),,
154,(952!771),,,(99!468),(1326!211),,(436!70),,,(852!856),(461!105),,(486!77),,
155,(952!770),,,(100!468),(1326!211),,(436!70),,,,(462!105),,(486!77),,
156,(952!770),,,,(1329!211),,(436!69),,(1248!166),,(461!104),,(486!77),,
157,(952!770),,,(99!467),(1325!210),,(436!68),,(1247!166),(848!854),(462!103),,(486!75),,
158,(952!769),(1353!850),,(103!465),(1329!211),,(436!68),,(1247!166),(848!853),,,(486!76),,
159,(952!769),(1353!849),,(103!466),(1325!210),,(435!68),,(1247!166),(848!853),(461!103),,(486!75),,
160,(952!770),,,,(1329!211),,(435!68),,(1247!167),,,,,,
161,(951!770),,,(100!466),(1328!212),,(435!68),,(1246!167),,,,,,
162,(951!770),,,(99!466),(1325!211),,(434!68),,,(846!853),(461!102),,(485!75),,
163,(951!771),(1353!850),,,(1325!212),,(435!68),,(1246!169),,,,(485!76),,
164,(950!770),,,(102!466),(1325!212),,(434!69),,,(846!854),(461!104),,(485!76),,
165,(950!771),,,(95!468),(1325!212),,(434!69),,,(845!854),,,(485!76),,
166,(950!772),,,(95!468),(1325!212),,(434!69),,(1245!171),(846!855),,,(461!105),,
167,,,,,(1325!213),,(434!70),,(1245!171),(846!855),,,(485!76),,
168,(950!772),(1353!852),,(95!469),(1325!214),,(434!70),,(1245!172),(846!855),(461!106),,(485!77),,
169,(950!772),(1353!852),,,(1326!214),,(434!70),,(1245!172),(845!854),(461!106),,(485!78),,
170,,(1353!852),,,(1326!215),,(434!70),,(1245!172),(846!854),(461!106),,(485!79),,
171,(950!771),(1353!852),,,(1326!214),,(435!70),,(1245!170),(845!854),,,(485!78),,
172,(951!771),(1353!851),,(100!467),(1327!214),,(435!70),,(1245!170),(845!854),(461!105),,(486!78),,
173,(952!770),(1354!850),,(103!466),(1327!213),,(435!69),,(1245!170),(846!853),,,,,
174,(951!770),(1353!850),,(103!466),(1327!213),,(435!69),,(1245!170),(846!853),,,(486!76),,
175,(951!769),(1353!849),,(103!465),(1327!213),,(434!68),,,(846!852),,,(485!76),,
176,(952!768),(1353!849),,(103!465),(1326!214),,(435!68),,,(846!852),(461!103),,(486!76),,
177,(952!769),(1353!849),,(100!465),(1327!213),,(434!67),,,(846!852),(461!103),,(485!75),,
178,(952!768),(1353!849),,(102!465),(1326!214),,(434!67),,(1245!167),,(461!102),,(485!75),,
179,(952!769),(1353!849),,(102!465),(1326!213),,(434!67),,,(845!850),,,(485!73),,
180,(951!769),(1352!849),,(102!465),(1326!214),,(434!68),,,(845!849),(461!102),,(485!73),,
181,(951!769),(1352!849),,(102!465),(1325!218),,(435!68),,,(845!849),(461!103),,(485!73),,
182,(950!769),(1352!849),,,(1326!218),,(434!68),,,(844!848),,,(485!73),,
183,,(1352!850),,(101!466),(1326!216),,(434!68),,(1244!169),(843!849),(461!103),,(485!74),,
184,(950!771),(1352!851),,(101!467),(1326!218),,(434!69),,(1243!170),(843!849),(460!104),,(484!74),,
185,,(1352!851),,(102!468),(1326!218),,(434!69),,(1244!171),,(461!105),,(485!75),,
186,(951!771),(1352!851),,(101!467),(1324!219),,(434!70),,(1243!171),,(460!105),,(484!75),,
187,(951!770),(1352!851),,(99!468),(1325!219),,(434!70),,(1243!171),(841!850),(460!105),,(485!75),,
188,(952!771),(1352!851),,,(1326!220),,(434!70),,(1243!170),,(460!105),,(485!75),,
189,(952!771),(1352!851),,(102!467),(1326!219),,(434!69),,(1243!170),(841!849),(460!105),,(485!75),,
190,(952!770),,,(102!467),(1326!219),,(434!69),,(1244!169),(841!849),(460!105),,(485!74),,
191,(953!770),,,(102!466),(1327!219),,(434!69),,(1244!168),,(461!104),,(485!74),,
192,,(1353!850),,(102!466),(1328!218),,(434!69),,(1244!168),,(461!104),,(486!74),,
193,,(1353!849),,(103!465),(1327!219),,(434!68),,(1244!167),,(461!103),,(486!73),,
194,,(1352!849),,(102!465),(1328!219),,(434!68),,(1245!167),,(461!102),,(486!72),,
195,(953!768),(1352!848),,(102!465),(1328!217),,(434!68),,(1244!167),(832!842),(462!102),,(486!72),,
196,,(1352!849),,(102!465),(1331!219),,(434!68),,(1244!167),,(461!102),,(485!72),,
197,(954!768),(1352!849),,(102!465),(1328!217),,(434!68),,(1244!167),,(462!103),,(485!73),,
198,(840!845),(1352!849),,(100!465),(1328!222),,(434!68),,(1244!167),,(461!103),,(485!72),,
199,(839!846),(1352!849),,(101!465),(1326!217),,(434!68),,(1243!167),,(461!103),,(485!73),,
200,,(1352!849),,(101!466),(1327!218),,(434!68),,(1244!167),,(461!103),,(485!73),,
201,(831!844),(1351!849),,(101!466),(1326!218),,(433!69),,(1243!167),,(461!103),,(484!73),,
202,(954!771),,,,(1326!219),,(433!69),,(1242!168),,(459!104),,(484!74),,
203,(839!848),,,(98!467),(1326!219),,(433!69),,(1242!169),,(460!105),,(484!74),,
204,(839!848),,,(101!468),(1326!220),,(434!69),,(1242!170),,(460!105),,(484!75),,
205,,,,,(1326!219),,(433!69),,(1242!169),,(460!105),,(484!74),,
206,(839!848),,,(102!467),(1327!220),,(434!69),,(1242!169),,(460!105),,(484!74),,
207,(839!848),(1352!851),,(102!467),(1327!220),,(434!69),,(1242!169),(954!772),(460!105),,(485!75),,
208,,,,(102!467),(1330!223),,(434!69),,(1242!170),(955!772),(460!105),,(485!74),,
209,,(1353!850),,,(1328!221),,(435!69),,(1243!169),(955!772),(461!104),,(486!74),,
210,,(1353!849),,(103!466),(1328!220),,(435!68),,(1243!168),(956!772),(461!103),,(486!74),,
211,,(1352!849),,(102!465),(1328!220),,(434!68),,(1243!169),(955!770),(460!103),,(486!73),,
212,(841!848),(1353!849),,,(1328!219),,(435!68),,(1243!168),(955!770),(461!102),,(485!73),,
213,(841!848),(1353!848),,,(1328!220),,(435!68),,(1243!168),(956!770),(461!102),,(485!73),,
214,(841!847),(1353!848),,(102!465),(1328!220),,(434!68),,(1243!167),(955!770),(461!102),,(485!73),,
215,,,,(103!465),,,(435!68),,(1243!167),(955!770),(461!102),,(485!72),,
216,(841!848),(1352!848),,(103!465),(1328!222),,(434!68),,(1243!168),(955!770),(461!102),,(485!73),,
217,(840!848),(1352!848),,(103!465),(1328!222),,(434!68),,(1243!168),(955!771),(461!102),,(485!73),,
218,(841!848),(1352!849),,(102!465),(1328!224),,(434!68),,(1242!168),(956!771),(461!103),,(485!73),,
219,(840!848),(1352!849),,(102!466),(1327!224),,(434!68),,(1242!168),(955!772),(461!103),,(485!73),,
220,(840!848),(1352!849),,(101!466),(1326!226),,(434!69),,(1242!169),(955!772),,,(485!74),,
221,(841!849),(1352!849),,(99!467),(1326!228),,(434!69),,(1242!168),(955!772),,,(485!74),,
222,(840!849),(1352!848),,(101!467),(1331!226),,(434!70),,(1242!169),,(460!104),,(485!74),,
223,(841!850),(1352!848),,(101!468),(1332!228),,(434!70),,(1242!169),(954!773),(460!105),,(485!75),,
224,(841!850),(1352!847),,(102!467),(1334!229),,(435!70),,(1243!169),,(461!104),,(485!75),,
225,(841!849),(1352!846),,(102!467),(1334!229),,(434!69),,(1242!169),,(461!105),,(485!75),,
226,(841!849),(1353!846),,,(1334!229),,(435!70),,(1242!169),,(461!105),,(485!75),,
227,(840!848),,,(100!466),(1334!230),,(435!69),,(1243!168),,(461!104),,(485!74),,
228,(840!848),(1353!842),,(102!466),(1333!230),,(435!68),,(1243!167),,(461!103),,(486!74),,
229,(840!846),(1353!840),,(102!465),(1334!230),,(435!68),,(1243!167),,(461!103),,(486!73),,
230,(840!846),(1353!838),,(103!465),(1333!229),,(435!68),,(1243!167),,(461!102),,(485!73),,
231,(841!845),(1353!837),,(103!465),(1334!229),,(435!68),,(1244!167),,(462!103),,(486!73),,
232,,(1353!837),,(102!465),(1334!231),,(435!68),,(1244!166),,(461!102),,(486!73),,
233,,(1353!837),,(103!465),(1334!231),,(435!68),,(1244!167),(958!771),(462!102),,(486!72),,
234,,(1353!837),,(103!465),(1334!231),,(435!68),,(1243!167),(840!844),(461!102),,(485!73),,
235,,(1352!837),,(102!465),(1333!232),,(435!68),,(1243!167),(840!844),(461!103),,(486!73),,
236,,(1352!836),,(102!465),(1333!233),,(435!68),,(1243!167),(840!844),(461!103),,(485!73),,
237,(959!772),(1352!836),,(102!466),(1332!233),,(434!69),,(1242!167),(839!845),(461!103),,(485!74),,
238,,(1352!836),,(100!466),(1334!235),,(434!70),,(1242!168),(839!845),(461!104),,(485!74),,
239,(960!772),(1352!835),,(102!467),(1331!236),,(434!70),,,(839!845),,,,,
240,,(1352!834),,(102!467),(1330!237),,,,,(839!845),,,,,
241,(1354!856),(1352!834),,(99!467),(1331!237),,,,(1242!167),,,,(483!75),,
242,,(1353!826),,(102!467),(1329!237),,(434!70),,,(838!845),,(960!773),(484!75),,(1359!298)
243,,(1353!826),,,(1331!237),,(434!70),,,(838!845),,,,,
244,,(1352!824),,,(1330!238),,(484!75),,,,,,,,
245,,(1354!824),,,(1332!237),,(485!75),,,(838!844),(435!70),(962!774),,,
246,,,,,(1332!238),,(485!74),,,(838!844),,,,,
247,,(1352!829),,,(1333!238),,(485!74),,(1243!166),(838!843),,(963!773),,,
248,,(1353!827),,,(1333!237),(1359!297),(485!73),,(1243!166),(838!843),,(962!772),,,
249,,(1353!827),,(103!466),(1333!237),,(486!73),,,(838!842),,,,,
250,,(1352!827),,(103!465),(1332!238),(1359!297),(485!73),,(1244!165),(838!843),,(962!772),(434!68),,
251,,(1353!826),,(103!465),(1333!238),(1359!297),(485!73),,(1244!165),(837!843),,,,,
252,,(1353!826),,(103!465),(1333!240),,(485!73),,(1244!165),(837!843),,,,,
253,,(1353!825),,(103!466),(1333!241),(1360!298),(486!74),,,(837!843),,,,,
254,,(1353!825),,(103!466),(1332!240),(1360!298),(485!74),,(1243!167),(836!844),,(962!773),,,
255,,,,,(1332!241),,(485!74),,(1243!167),,,(961!773),,,
256,,,,,(1331!241),,(485!74),,(1243!167),(836!844),,(961!773),(461!104),,
257,,(1352!822),(1354!848),,(1332!242),(1359!298),(485!75),,(1243!167),(835!845),,(961!774),,,
258,,(1352!823),(1354!850),,(1332!242),(1359!298),(485!75),,(1244!167),(836!844),,(960!774),,,
259,,(1352!823),,,(1333!242),(1359!298),(485!75),,(1244!167),(836!844),,,,,
260,,(1351!822),,(97!469),(1332!242),(1358!298),(484!75),,(1244!167),(836!844),,(960!774),,,
261,,(1351!821),,,(1332!242),,(485!75),,(1244!167),(837!844),,(960!774),,,
262,,(1351!820),,,(1331!242),,(485!75),,(1243!167),(837!844),,(960!774),,,
263,,(1351!820),,(99!467),(1331!242),,(485!75),,(1244!167),(837!844),,(961!774),,,
264,,(1351!820),,,(1331!242),,(485!74),,(1244!167),(838!844),,,(434!69),,
265,,(1352!818),,,(1331!243),(1359!295),(485!74),,(1244!166),,,,,,
266,,(1352!817),,,(1331!242),(1359!295),(485!74),,(1244!165),,,,,,
267,,(1353!817),,(103!465),(1332!242),,(486!73),,,,,(962!773),(435!67),,
268,,(1353!817),,,(1332!242),,(486!73),,(1245!164),,,(839!842),(435!67),,
269,,(1355!814),,(103!465),(1332!243),,(486!73),,(1245!164),(962!773),,(839!842),(435!67),,
270,,(1355!814),,(103!465),(1332!244),,(486!73),,(1245!164),(962!773),,,(435!68),,
271,,(1353!817),,(103!465),(1332!242),,(486!73),,(1245!165),(962!773),,(839!842),(435!67),,
272,,(1353!815),,,,,(485!74),,,(963!773),,(839!842),(435!68),,
273,,(1353!816),,,(1330!247),,(486!74),,(1245!166),(962!774),,(839!843),(435!68),,
274,,(1352!815),,(100!466),(1330!247),(1359!297),(485!74),(460!104),(1245!167),(961!774),,(839!843),(434!70),,
275,,(1353!817),,,(1333!246),,(485!75),,(1244!167),(961!774),,(839!843),(435!69),,
276,,(1352!817),,,(1334!246),,(485!75),(461!105),(1244!167),(961!774),,(838!844),(435!70),,
277,,(1352!817),,,(1333!247),(1359!296),(485!75),,(1244!167),(961!775),,(838!845),(435!69),,
278,,(1352!814),,,(1333!248),(1359!298),(485!76),(460!106),(1244!167),(960!775),,(838!845),(435!70),,
279,,(1353!812),,,(1331!251),,(485!75),,(1244!167),(961!774),,(839!844),(434!69),,
280,,(1352!812),,,,,(485!75),,(1244!167),(961!774),,(839!844),(434!69),,
281,,(1352!813),,(99!467),,,(485!75),,(1244!167),(961!774),,,(435!68),,
