frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_12,ID_15,ID_16
114,"(785,1015)","(555,928)","(142,896)",,,"(759,679)","(414,623)","(1191,636)","(1048,236)",,"(1336,1012)",,
115,"(786,1015)","(554,928)","(142,896)",,,"(758,679)","(414,623)","(1193,636)","(1049,237)",,"(1336,1012)",,
116,"(785,1015)","(554,926)","(141,896)","(1352,788)","(381,762)","(759,678)","(416,620)","(1193,635)","(1049,237)",,"(1336,1011)",,
117,"(785,1015)","(555,927)","(142,896)","(1350,786)","(381,762)","(759,678)","(414,623)","(1194,635)","(1050,238)",,"(1327,1014)",,
118,"(785,1015)","(555,929)","(142,896)","(1351,787)","(381,762)","(758,675)","(414,623)","(1196,634)","(1050,238)",,"(1327,1014)",,
119,"(786,1014)","(555,928)","(142,895)","(1351,782)","(381,761)","(757,675)","(415,620)","(1197,637)","(1050,239)",,"(1336,1011)",,
120,"(785,1015)","(555,926)","(139,898)","(1352,781)","(381,762)","(757,675)","(412,623)","(1199,635)","(1050,240)",,"(1336,1011)",,
121,"(785,1014)","(554,928)","(138,897)","(1350,781)",,"(755,674)","(415,619)","(1201,634)","(1050,240)",,"(1336,1011)",,
122,"(785,1014)","(555,928)","(142,895)","(1351,780)","(381,762)","(755,672)","(411,622)","(1202,634)","(1050,240)",,"(1336,1011)",,
123,"(785,1014)","(555,927)","(141,896)","(1349,778)","(381,762)","(755,675)","(411,622)","(1203,630)","(1051,241)",,"(1336,1011)",,
124,"(786,1014)","(554,927)","(142,896)","(1350,777)","(381,762)","(755,674)","(415,619)","(1205,630)","(1051,241)",,"(1336,1011)",,
125,"(786,1014)","(555,926)","(141,896)","(1351,777)","(381,762)","(754,672)","(415,620)","(1206,629)","(1051,242)",,"(1335,1011)",,
126,"(785,1014)","(555,925)","(141,896)","(1348,774)","(381,762)","(753,672)","(415,619)","(1207,629)","(1050,241)",,"(1327,1014)",,
127,"(786,1015)","(555,929)","(142,896)","(1349,775)","(381,762)","(749,669)","(415,619)","(1209,633)","(1052,242)",,"(1335,1011)",,
128,"(785,1015)","(554,925)","(141,895)","(1350,766)","(381,762)","(753,672)","(413,621)","(1210,630)","(1052,242)",,"(1335,1011)",,
129,"(785,1015)","(555,926)","(141,896)","(1350,771)","(381,763)","(752,672)","(412,621)","(1212,630)","(1052,242)",,"(1327,1014)",,
