frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_17,ID_18,ID_19
95,"(1316,987)","(167,933)","(1252,1010)","(1184,958)","(1200,908)","(296,189)","(439,89)","(190,98)","(1355,833)",,,,,,,,
96,"(1316,984)","(166,932)","(1251,1010)","(1183,957)","(1199,908)",,"(439,89)","(189,99)","(1354,835)",,,,,,,,
97,"(1317,984)","(166,932)","(1252,1010)","(1183,958)","(1203,911)",,"(439,90)","(187,100)","(1356,837)",,,,"(47,358)",,,,
98,"(1319,986)","(165,927)","(1252,1010)","(1181,960)","(1198,909)",,"(439,89)","(186,101)","(1356,837)",,,,,,,,
99,"(1318,988)","(163,926)",,"(1180,959)","(1198,909)",,,"(184,102)","(1354,841)",,,,,,,,
100,"(1320,986)","(165,926)","(1251,1010)","(1181,958)","(1198,909)","(296,190)","(439,90)","(184,102)","(1355,839)",,,,,,,,
101,"(1320,986)","(164,926)","(1251,1010)","(1181,958)","(1198,909)","(296,190)","(439,90)","(182,102)","(1355,839)",,,,,,,,
102,"(1321,988)","(162,927)","(1251,1011)","(1181,958)","(1197,909)",,"(438,90)","(181,102)","(1355,841)",,,,,,,,
103,"(1322,986)","(161,925)","(1251,1011)","(1183,956)","(1197,909)",,"(438,90)","(179,103)","(1355,843)",,,,,,,,
104,"(1323,987)","(161,925)","(1251,1012)","(1183,956)","(1201,912)",,"(438,90)","(177,102)","(1355,843)",,,,"(46,330)",,,,
105,"(1324,983)","(159,924)","(1251,1011)","(1182,956)","(1197,910)",,"(438,90)","(175,103)","(1356,843)",,,,,,,,
106,"(1325,982)","(159,923)","(1251,1011)","(1182,955)","(1197,910)",,"(438,90)","(174,103)","(1356,843)",,,,,,,,
107,"(1326,983)","(157,922)","(1251,1011)","(1182,955)","(1196,909)","(297,190)","(438,90)","(172,102)","(1356,844)",,,,,,,,
108,"(1327,985)","(158,921)","(1251,1010)","(1183,954)","(1195,907)",,"(439,90)","(172,102)","(1356,844)",,,,,,,,
109,"(1329,983)","(157,920)","(1251,1010)","(1184,954)","(1195,907)","(296,190)","(439,90)","(171,103)","(1356,845)",,,,,,,,
110,"(1330,984)","(155,917)","(1251,1010)","(1183,953)","(1194,906)",,"(439,89)","(169,102)","(1354,845)",,,,,,,,
111,"(1330,984)","(155,913)","(1251,1010)","(1183,953)","(1194,906)","(296,189)","(439,89)","(167,101)","(1356,845)",,,,,,,,
112,"(1331,983)","(158,913)","(1251,1010)","(1184,952)","(1194,906)","(296,189)","(440,89)","(167,101)","(1356,845)",,,,,,,,
113,"(1332,982)","(157,913)",,"(1185,953)","(1195,906)","(296,189)","(439,89)","(165,101)","(1356,847)",,,,,,,,
114,"(1337,984)","(156,912)","(1251,1011)","(1184,952)","(1194,906)","(296,189)","(440,89)","(164,101)","(1356,846)",,,,,,,,
115,"(1338,984)","(158,911)","(1249,1011)","(1183,949)","(1193,906)",,"(439,90)","(163,102)","(1356,846)",,,,,,,,
116,"(1333,982)","(157,909)","(1248,1011)","(1186,948)","(1192,906)",,"(439,89)","(161,102)","(1355,846)",,,,,,,,
117,"(1335,982)","(156,906)",,"(1186,948)","(1192,905)","(296,189)","(439,89)","(159,104)","(1355,849)",,"(1146,1023)",,,,,,
118,"(1335,982)","(155,907)","(1245,1011)","(1187,948)","(1192,906)","(296,190)","(439,90)","(159,103)","(1354,849)",,,,,,,,
119,"(1335,982)","(156,905)","(1244,1011)","(1186,948)","(1190,906)","(296,190)","(436,90)","(156,104)","(1355,852)",,,,,,,,
120,"(1336,983)","(154,905)","(1244,1012)","(1185,947)","(1191,906)","(296,190)","(436,90)","(154,104)","(1356,853)",,,,,,,,
121,"(1337,982)","(154,904)","(1243,1011)","(1185,947)","(1191,906)","(295,190)","(436,90)","(153,106)","(1355,854)",,,,,,,,
122,"(1338,983)","(154,904)",,"(1185,947)","(1191,906)","(295,190)","(438,90)","(153,106)","(1355,856)",,,,,,,,
123,"(1339,982)","(153,903)","(1241,1011)","(1183,951)","(1190,906)","(297,190)","(438,90)","(150,105)","(1355,857)",,,,,,,,
124,"(1339,982)","(153,901)","(1242,1011)","(1186,944)","(1190,905)","(296,190)","(439,90)","(150,106)","(1355,858)",,,,,,,,
125,"(1340,981)","(151,900)","(1242,1011)","(1184,949)","(1190,906)","(296,190)",,"(147,107)","(1355,859)",,,,,,,,
