frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_12,ID_14,ID_15,ID_16,ID_17,ID_18,ID_21,ID_23,ID_24,ID_25,ID_27,ID_28,ID_30,ID_32,ID_33,ID_34,ID_36
54,"(907,1029)","(1043,908)","(827,879)",,"(903,585)","(1252,557)","(1016,466)","(593,118)",,,,,,,,,,,,,,,,,,,,
55,"(907,1028)","(1044,908)","(827,879)",,"(904,584)","(1250,558)","(1013,467)","(594,118)",,,,,,,,,,,,,,,,,,,,
56,"(906,1028)","(1046,907)","(827,879)",,"(903,585)","(1249,558)","(1010,466)",,"(1270,48)","(1352,303)",,,,,,,,,,,,,,,,,,
57,"(906,1028)","(1047,907)","(832,871)",,"(907,588)","(1247,559)","(1007,468)",,"(1269,47)","(1353,304)",,"(124,45)",,,,,,,,,,,,,,,,
58,"(907,1027)","(1049,909)","(827,881)","(1327,835)",,"(1246,561)","(1005,469)",,"(1270,48)","(1352,306)",,,"(948,49)",,,,,,,,,,,,,,,
59,"(905,1028)","(1050,907)","(826,882)",,,"(1245,562)","(1003,470)",,,"(1352,309)",,,,,,,,,,,,,,,,,,
60,,"(1052,910)","(826,882)",,"(907,590)","(1243,563)","(1003,472)",,"(1270,49)","(1352,311)",,,,,,,,,,,,,,,,,,
61,,"(1054,908)","(827,882)",,,"(1242,563)","(999,472)","(598,120)","(1278,47)",,,,,,,,,,,,,,,,,,,
62,,"(1056,907)","(827,882)",,,"(1241,565)","(996,473)","(598,121)",,,,,,,,,,,,,,,,,,,,
63,,"(1057,907)","(827,883)",,"(908,591)","(1240,565)","(994,475)","(599,122)",,"(1353,313)",,,,,,,,,,,,,,,,,,
64,,"(1058,907)","(827,883)",,"(908,591)","(1238,566)","(991,475)","(599,125)",,"(1353,310)",,,,,,,,,,,,,,,,,,
65,"(907,1031)","(1058,907)",,,"(904,589)","(1234,566)","(989,476)","(600,121)",,"(1353,311)",,,,,,,,,,,,,,,,,,
66,,"(1060,905)","(827,882)",,"(908,590)","(1233,567)","(985,479)","(599,119)",,"(1353,311)",,,,,,,,,,,,,,,,,,
67,,"(1062,904)","(827,881)",,"(909,589)","(1230,565)","(984,477)","(600,120)","(1271,48)","(1353,311)",,,,,,,,,,,,,,,,,,
68,"(913,1030)","(1064,902)","(827,880)","(1328,834)","(908,588)","(1227,566)","(979,477)","(600,120)","(1270,47)","(1352,311)",,,,,,,,,,,"(1170,1039)",,,,,,,
69,"(908,1030)","(1065,900)","(827,880)","(1328,834)","(909,585)","(1224,564)","(977,477)","(600,117)","(1270,47)","(1351,311)",,,,,,,,,,,"(1178,1036)",,,,,,,
70,"(908,1029)","(1066,898)","(827,879)","(1328,833)","(905,585)","(1222,563)","(976,477)","(601,116)",,"(1352,312)",,,,,,,,,,,,,,,,,,
71,"(909,1024)","(1068,898)","(827,878)","(1328,832)","(908,586)","(1219,563)","(971,478)","(602,114)",,"(1352,312)",,,,,"(286,51)",,,,,,,,,,,,,
72,"(910,1022)","(1069,899)","(827,878)","(1328,832)","(905,584)","(1216,561)","(967,479)","(603,115)",,"(1352,314)",,,,,"(295,50)","(503,49)",,,"(128,51)",,,,,,,,,
73,"(909,1024)","(1069,898)","(827,878)","(1327,831)","(905,584)","(1214,560)","(966,480)","(603,115)",,"(1353,313)",,,,"(586,46)","(280,50)","(504,49)",,,,,"(1136,1036)",,,,,,,
74,"(906,1029)","(1071,897)","(825,878)","(1327,831)","(904,583)","(1211,560)","(963,481)","(603,115)",,"(1352,313)",,,,,,,,,,,"(1117,1035)",,,,,,,
