frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17
117,"(225,1032)","(1208,956)","(62,624)","(152,591)","(1341,415)",,"(86,71)",,,,,,,,,,,
118,,"(1209,954)",,"(152,592)","(1341,415)","(225,313)","(85,71)",,,,,,,,,,,
119,,"(1209,962)",,"(150,588)","(1341,415)",,"(85,71)",,,,,,,,,,,
120,"(228,1032)","(1209,962)",,"(150,587)","(1341,415)","(224,313)","(85,71)",,,,,,,,,,,
121,"(229,1032)",,,"(151,588)","(1341,415)","(224,313)","(85,71)",,,,,,,,,,,
122,,"(1207,955)","(62,623)","(152,592)","(1341,415)","(223,313)","(85,71)",,,,,,,,,,,
123,"(230,1032)","(1207,954)","(62,623)","(152,591)","(1341,415)","(223,314)","(85,71)",,,,,,,,,,,
124,"(230,1032)",,"(61,622)","(152,591)","(1341,415)","(222,315)","(85,71)",,,,,,,,,,,
125,"(226,1032)","(1207,954)","(60,621)","(152,591)","(1341,414)","(223,315)","(85,71)",,,,,,,,,,,
126,"(228,1032)","(1208,954)","(59,621)","(152,592)","(1341,415)","(222,316)","(85,71)",,,,,,,,,,,
127,"(232,1032)","(1208,955)","(58,621)","(152,591)","(1341,415)","(221,316)","(85,71)",,,,,,,,,,,
128,"(233,1032)","(1207,956)","(57,621)","(152,592)","(1341,416)","(221,316)","(84,71)",,,,"(720,692)",,,,,,,
129,"(230,1033)","(1206,963)","(57,619)","(150,588)","(1341,417)","(220,317)","(84,72)",,,,,,,,,,,
130,"(230,1033)","(1206,963)","(57,618)","(150,587)","(1341,417)","(220,318)","(84,72)",,,,,,,,,,,
131,"(233,1033)","(1207,963)","(58,618)","(149,588)","(1341,417)","(219,318)","(84,72)",,,"(49,374)",,,,,,,,
132,"(237,1036)","(1207,966)","(56,617)","(150,588)","(1343,418)","(219,318)","(85,72)",,,,,,,,,,,
133,"(237,1035)","(1208,962)","(58,614)","(152,591)","(1345,420)","(218,319)","(84,72)",,,,,,,,,,,
134,"(237,1033)","(1208,962)","(57,614)","(150,588)","(1345,420)","(218,319)","(85,72)",,,,,,,,,,,
135,"(238,1033)","(1208,957)","(58,614)","(150,587)","(1345,420)","(218,318)","(84,71)",,,,,,,,,,,
136,"(236,1032)","(1208,956)","(57,612)","(149,587)","(1350,413)","(218,318)","(84,71)",,,"(50,391)",,,,,,,,
137,"(237,1033)","(1208,962)","(59,612)","(152,591)","(1350,413)","(217,318)","(84,71)",,,,,,,,,,,
138,"(242,1032)","(1208,962)","(59,611)","(152,591)","(1344,419)","(217,319)","(84,71)",,,,,,,,,,,
139,"(242,1032)","(1208,962)","(59,611)","(152,591)","(1344,419)","(216,320)","(84,71)",,,,,,,,,,,
