frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_19,ID_20
96,,"(179,524)","(366,429)","(1002,230)","(127,56)",,"(863,68)",,"(61,179)","(465,1026)",,"(48,58)",,,,,,,,
97,"(533,538)","(178,524)","(365,429)","(1000,233)","(132,56)",,"(865,70)",,"(67,177)","(468,1026)",,,,,,,,,,
98,"(533,538)","(177,523)","(366,429)","(998,233)","(128,57)","(1060,137)","(868,72)",,"(60,178)","(473,1027)",,"(54,87)",,,,,,,,
99,,"(176,523)","(367,429)","(994,231)","(131,56)","(1060,137)","(869,74)",,"(66,176)","(470,1028)",,,,,,,,,,
100,"(534,538)","(175,524)","(364,427)","(993,233)","(132,56)","(1061,139)","(871,76)",,"(64,178)","(479,1026)",,,,,,,,,,
101,,"(175,523)","(367,429)","(990,235)","(138,57)",,"(872,76)",,"(67,176)","(476,1025)",,,,,,,,,,
102,"(534,538)","(173,522)","(365,427)","(991,234)","(136,56)","(1062,139)","(875,78)",,"(65,176)","(478,1026)",,,,,,,,,,
103,,"(172,522)","(369,430)","(990,234)","(143,55)","(1063,138)","(875,75)",,"(67,177)","(484,1024)",,,,,,,,,,
104,"(535,537)","(169,524)","(366,428)","(989,236)","(143,56)","(1063,137)","(878,73)",,"(64,176)","(488,1024)",,,,,,,,,,
105,"(535,536)","(171,523)","(369,430)","(987,236)","(140,57)","(1062,138)","(882,74)",,"(64,171)","(485,1024)",,,,,,,,,,
106,"(540,535)","(167,523)","(370,430)","(985,236)","(141,57)","(1062,138)","(883,74)",,"(63,175)","(488,1025)",,"(57,78)",,,,,,,,
107,"(540,535)","(171,524)","(370,430)","(983,237)","(144,56)","(1062,137)","(884,76)",,"(65,170)","(491,1024)",,,,,,,,,,
108,"(536,537)","(171,523)",,"(982,237)","(144,56)","(1062,137)","(886,76)",,"(61,169)","(495,1025)",,"(56,79)",,,,,,,,
109,"(536,537)","(169,524)","(368,428)","(981,237)","(147,56)","(1062,138)","(887,76)",,"(62,172)","(496,1025)",,,"(46,1017)",,,,,,,
110,,"(168,525)","(368,428)","(980,237)","(153,56)","(1061,139)","(887,76)",,"(60,169)","(499,1025)",,"(55,81)",,,,,,,,
111,"(535,537)","(164,526)","(372,430)","(978,236)","(154,57)","(1061,140)","(887,78)",,"(59,168)","(502,1025)",,"(52,72)",,,,,,,,
112,"(535,537)","(164,526)","(372,429)","(977,238)","(155,56)",,"(888,78)",,"(60,166)","(503,1027)",,"(51,71)",,,,,,,,
113,,"(163,525)","(372,430)","(975,237)","(157,56)","(1061,138)","(888,79)",,"(59,166)","(505,1027)",,"(51,70)",,,,,,,,
114,,"(160,527)","(372,430)","(974,236)","(160,57)",,"(889,79)",,"(59,166)","(505,1028)",,"(51,69)",,,,,,,,
115,,"(160,527)","(372,430)","(972,236)","(163,57)",,"(891,81)",,"(59,166)","(507,1027)",,"(50,69)",,,,,,,,
116,"(533,537)","(159,526)","(372,430)","(970,238)","(163,57)",,"(892,77)",,"(58,165)","(510,1027)",,"(50,72)",,,,,,,,
117,"(533,537)","(157,526)","(372,429)","(969,238)","(161,56)","(1060,138)","(893,75)",,"(58,165)","(512,1027)",,"(50,71)",,,,,,,,
118,"(533,537)","(157,526)","(372,430)","(968,238)","(165,57)","(1060,138)","(895,77)",,"(58,164)","(512,1027)",,"(50,74)",,,,"(1374,547)",,,,
119,"(534,536)","(157,527)","(374,430)","(967,238)","(170,56)","(1061,139)","(896,75)",,"(61,164)","(515,1026)",,"(58,106)",,,,,,,,
120,"(534,537)","(156,525)","(374,430)","(966,238)","(174,55)","(1061,138)","(898,78)",,"(61,165)",,,"(58,106)",,,,,"(50,76)",,,
121,"(534,537)","(156,522)","(375,430)","(964,241)","(166,56)","(1061,138)","(898,78)",,"(63,163)","(518,1026)",,"(59,106)",,,,,"(51,70)",,,
122,"(534,537)","(156,525)","(372,428)","(964,242)","(180,56)",,"(900,81)",,"(64,161)","(518,1025)",,"(59,107)","(45,1019)",,,,"(49,66)",,,
123,"(536,537)","(156,523)","(374,432)","(961,237)","(181,55)","(1063,137)","(903,85)",,"(64,160)","(523,1025)",,,"(45,1018)",,,,,,,
124,"(536,537)","(155,521)","(378,429)","(961,236)","(179,54)","(1063,137)","(905,85)",,"(62,160)","(526,1025)",,"(60,107)","(45,1018)",,,,,,,
125,"(539,537)","(154,521)","(377,428)","(961,237)","(185,56)","(1062,138)","(906,81)",,"(66,160)","(525,1024)",,,"(46,1018)",,,,,,,
126,,"(152,520)","(376,428)","(958,236)","(185,56)","(1062,137)","(906,81)",,"(66,160)",,,"(59,107)",,,,,"(52,76)",,,
127,"(536,537)","(151,521)","(378,430)","(958,239)",,"(1061,137)","(907,81)",,"(67,160)","(525,1025)",,"(59,107)","(46,1018)",,,,"(52,72)",,,
128,,"(149,521)","(379,430)","(956,237)","(190,55)","(1062,138)","(908,81)",,"(68,160)","(526,1026)",,"(60,107)","(45,1019)",,,,"(52,72)",,,
129,,"(146,520)","(378,430)","(953,236)","(191,55)","(1062,139)","(907,81)",,"(66,160)","(527,1025)",,,"(45,1019)",,,,,,,
130,"(539,536)","(146,519)","(379,432)","(951,235)","(193,55)","(1062,139)","(908,81)",,"(66,160)","(534,1025)",,,"(45,1020)",,,,,,,
131,"(539,536)","(145,522)","(384,435)","(949,235)","(189,55)","(1061,139)","(907,82)",,"(62,160)",,,"(58,108)","(45,1019)",,,,"(51,75)",,,
132,"(535,537)","(143,522)",,"(949,237)",,,"(906,82)",,"(66,159)",,,"(58,107)",,,,,"(51,74)",,,
133,,"(142,522)",,"(946,237)",,,"(906,79)",,"(62,159)",,,"(58,108)",,,,,"(50,73)",,,
134,,"(141,522)",,"(946,237)","(193,55)",,"(906,79)",,"(61,159)",,,"(57,108)",,,,,"(50,73)",,,
135,"(538,537)","(140,522)","(386,435)","(944,238)","(192,56)","(1060,140)","(906,79)",,"(64,158)",,,"(57,109)",,,,,"(50,75)",,,
136,"(538,536)","(139,522)","(386,436)","(943,237)","(194,56)","(1060,138)","(906,78)",,"(64,158)","(544,1026)",,"(57,108)",,,,,"(50,72)",,,
137,,"(138,520)","(386,436)","(942,237)","(195,57)",,"(907,80)",,"(60,152)","(545,1028)",,"(57,108)",,,,,"(50,73)",,,
138,"(539,536)","(137,522)","(388,436)","(941,239)","(195,57)",,"(908,78)",,"(64,156)",,,"(58,108)",,,,,"(51,74)",,,
139,,"(136,523)","(387,437)","(940,237)","(195,57)","(1061,140)","(907,77)",,"(61,151)","(540,1027)",,"(58,108)",,,,,"(51,74)",,,
140,"(539,535)","(136,520)","(391,437)","(939,234)","(197,57)",,"(910,77)",,"(64,154)","(547,1027)",,"(59,108)",,,,,"(48,69)",,,
