frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14,ID_16,ID_18,ID_19,ID_20,ID_21,ID_22
102,"(1351,1006)","(844,1025)",,"(1144,288)",,"(1354,133)","(416,121)","(1197,95)","(1356,69)","(669,64)",,,,,,,,,,,
103,"(1351,1007)","(844,1024)",,"(1145,288)","(836,204)","(1354,133)","(415,122)","(1197,94)","(1356,69)","(669,64)","(1002,44)",,,,,,,,,,
104,"(1351,1006)","(844,1024)",,"(1145,287)","(836,204)","(1354,133)","(417,121)","(1197,95)","(1356,69)","(669,64)",,,,,,,,,,,
105,"(1351,1007)","(833,1026)",,"(1145,288)","(832,202)","(1354,133)","(416,123)","(1198,94)","(1357,70)","(668,64)",,,,,,,,,,,
106,"(1351,1007)","(844,1023)",,"(1142,287)","(832,202)","(1354,133)","(412,125)","(1198,95)","(1356,70)","(668,64)",,,,,,,,,,,
107,"(1351,1006)","(844,1023)",,"(1145,288)","(832,202)","(1354,133)","(412,123)","(1197,94)","(1356,69)","(668,64)","(1003,44)",,,"(603,1077)",,,,,,,
108,"(1351,1006)","(844,1023)",,"(1146,288)","(832,202)","(1354,133)","(413,122)","(1198,94)","(1357,69)","(668,63)",,,"(84,58)","(603,1076)",,,,,,,
109,"(1351,1007)","(852,1027)",,"(1145,288)","(836,204)","(1354,133)","(411,122)",,"(1357,69)","(668,64)",,,,,,,,,,,
110,"(1351,1006)","(832,1024)",,"(1142,287)","(836,204)","(1354,133)","(411,122)","(1198,95)","(1357,69)","(668,64)","(1003,44)",,,"(603,1077)",,,,,,,
111,"(1351,1006)","(844,1023)",,"(1142,287)","(832,202)","(1354,133)","(414,121)","(1197,95)","(1356,69)","(668,63)","(1002,44)",,,"(604,1077)",,,,,,,
112,"(1351,1006)","(852,1025)",,"(1146,289)","(835,204)","(1353,133)","(411,122)","(1197,95)","(1356,69)","(668,64)","(1002,44)",,,"(602,1077)",,"(832,1024)",,,,,
113,"(1351,1006)","(838,1030)",,"(1146,289)",,"(1353,133)","(411,122)","(1197,94)","(1356,69)","(668,64)",,,,,,,,,,,
114,"(1351,1006)","(837,1030)",,,"(836,204)","(1353,133)",,"(1198,95)","(1356,69)","(668,64)",,,,,,,,,,,
115,"(1351,1006)","(838,1030)",,,"(832,202)","(1353,133)",,,"(1356,69)","(668,64)",,,,,,,,,,,
116,"(1351,1007)","(837,1030)",,"(1146,303)","(835,205)","(1352,134)","(414,123)","(1197,96)","(1356,70)","(668,65)",,,,,,,,,,,
117,"(1350,1007)","(837,1030)",,"(1143,290)","(835,204)","(1352,134)","(414,122)","(1197,95)","(1356,69)","(667,64)",,,,,,,,,,,
118,"(1351,1008)","(837,1030)",,"(1148,300)","(831,202)","(1352,134)","(414,123)","(1197,96)","(1356,70)","(668,64)",,,,,,,,,,,
119,"(1351,1008)",,,"(1148,292)","(835,205)","(1354,134)","(415,123)","(1197,95)","(1356,70)","(668,64)",,,,,,,,,,,
120,"(1351,1008)","(838,1031)",,"(1149,292)","(835,205)","(1354,134)","(415,123)","(1197,95)","(1356,70)","(668,64)",,,,,,,,,,,
121,"(1351,1007)","(838,1032)",,"(1150,293)","(836,205)","(1354,134)","(416,123)","(1197,96)","(1356,70)","(668,64)",,,,,,,,,,,
122,"(1352,1007)","(838,1032)",,"(1150,293)",,"(1353,133)",,"(1198,95)","(1356,70)","(668,64)","(1033,59)",,,,,,,,,,
123,"(1351,1007)","(838,1031)",,"(1148,291)","(836,205)","(1354,134)",,"(1196,90)","(1356,70)","(668,64)",,,,,,,,,,,
124,"(1351,1007)","(838,1032)",,"(1149,291)","(832,202)","(1354,134)",,"(1198,95)","(1357,70)","(668,64)",,,,,,,,,,,
125,"(1351,1007)","(838,1032)",,"(1149,291)","(836,204)","(1354,133)",,"(1196,90)","(1356,69)","(668,64)","(1001,44)",,,,,,,,,,
126,"(1353,1007)","(838,1032)",,"(1153,292)","(836,204)","(1354,133)",,"(1198,95)","(1357,69)","(668,63)",,,,,,,,,,,
127,"(1351,1007)","(838,1032)",,"(1153,293)",,"(1355,134)","(414,122)","(1199,96)","(1357,70)","(668,64)",,,,,,,,,,,
128,"(1351,1007)","(840,1029)",,"(1153,293)","(832,202)","(1355,133)","(414,122)","(1198,96)","(1356,69)","(668,63)",,,,,,,,,,,
129,"(1351,1007)","(839,1029)",,"(1154,293)","(832,202)","(1355,133)",,"(1199,95)","(1357,70)","(668,64)","(1034,59)",,"(81,57)",,,,,,,,
130,"(1351,1007)","(839,1030)",,"(1155,294)","(836,205)","(1354,133)","(418,122)","(1198,95)","(1356,69)","(668,64)","(1001,44)",,"(82,57)",,,,,,,,
131,"(1351,1007)","(840,1031)",,"(1155,294)","(836,204)","(1354,134)","(427,124)","(1198,96)","(1356,70)","(668,64)",,,,,,,,,,,
132,"(1351,1008)","(840,1031)",,"(1156,294)","(836,205)","(1355,134)","(430,126)","(1198,96)","(1357,69)","(669,64)",,,,,,,,,,,
133,"(1351,1007)","(839,1031)",,"(1155,294)","(831,202)","(1354,134)","(414,123)","(1198,96)","(1356,70)","(668,64)",,,,,,,,,,,
134,"(1350,1008)","(838,1032)",,"(1156,295)","(831,203)","(1354,134)","(423,125)","(1197,97)","(1356,70)","(667,64)",,,,,,,,,,,
135,"(1352,1008)","(839,1032)",,"(1156,296)","(835,205)","(1354,134)","(418,124)",,"(1356,70)","(668,65)",,,,,,,,,,,
136,"(1352,1008)","(840,1033)",,"(1157,302)","(835,204)","(1354,134)","(417,124)","(1198,96)","(1356,70)","(667,64)",,,,,,,,,,,
137,"(1351,1009)","(840,1031)",,"(1156,302)","(835,205)","(1354,134)","(414,124)",,"(1356,70)","(668,65)","(1033,60)",,,,,,,,,,
138,"(1351,1009)","(840,1032)",,"(1157,302)","(836,205)","(1354,134)","(415,124)",,"(1356,70)","(668,65)","(1033,59)",,,,,,,,,,
139,"(1350,1008)","(840,1033)",,"(1157,302)","(835,205)","(1354,134)","(429,127)","(1198,97)","(1356,70)","(667,62)",,,,,,,,,,,
140,"(1351,1009)","(840,1033)",,"(1156,302)","(835,204)","(1354,134)","(414,125)",,"(1356,70)","(668,64)","(1033,59)",,,,,,,,,,
141,"(1352,1008)","(839,1033)",,"(1156,296)","(832,202)","(1354,134)","(414,125)","(1198,97)","(1357,70)","(668,64)","(1034,59)",,,,,,,,,,
142,"(1352,1008)","(840,1033)",,"(1161,294)","(832,202)","(1354,134)","(414,125)","(1198,97)","(1357,69)","(668,64)","(1034,59)",,,,,,,,,,
143,"(1352,1008)","(840,1035)",,"(1159,296)","(832,203)","(1355,134)","(414,125)","(1199,96)","(1357,70)","(668,64)","(1034,59)",,"(84,58)",,,,,,,,
144,"(1352,1008)","(841,1035)",,"(1160,296)","(832,202)","(1355,133)","(414,124)","(1199,96)","(1357,69)","(668,64)","(1034,58)",,,,,,,,,,
145,"(1351,1008)","(842,1035)",,"(1159,295)","(836,204)","(1355,133)","(414,124)","(1198,96)","(1357,69)","(668,63)","(1034,58)",,,,,,,,,,
146,"(1351,1008)","(841,1036)",,"(1160,295)","(832,202)","(1355,133)","(414,124)",,"(1357,69)","(668,64)","(1034,58)",,,,,,,,,,
147,"(1352,1009)",,,"(1161,297)","(836,204)","(1355,134)","(414,124)","(1199,97)","(1357,69)","(668,64)","(1034,58)",,,,,,,,,,
148,"(1351,1009)","(841,1038)",,"(1161,297)","(836,204)","(1355,134)","(414,124)","(1199,96)","(1357,69)","(668,64)","(1034,59)",,"(80,58)",,,,,,,,
149,"(1351,1009)",,,"(1161,297)","(836,204)","(1355,133)","(414,124)",,"(1357,69)","(668,64)",,,"(80,58)",,,,,,,,
150,"(1351,1009)",,,"(1161,297)","(831,203)","(1355,133)","(414,124)","(1198,96)","(1362,63)","(668,64)",,,,,,,,,,,
